Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
2006,Ongoing,Fatah–Hamas conflict\n,Hamas\nGaza Strip (after June\n2007)\nSupported by:\nIran,Fatah\nPalestinian Authority\nAl-Aqsa Martyrs' Brigades\n(until 2007)[aa]\nSupported by:\nUnited States (alleged)\nUnited Kingdom (covert),Palestinian internal political violence,https://en.wikipedia.org/wiki/Fatah%E2%80%93Hamas_conflict,https://en.wikipedia.org/wiki/Palestinian_internal_political_violence
2006,2008,Iraqi civil war (2006–2008)\n,Iraq\nUnited States\nUnited Kingdom\nOther coalition forces\nPrivate Security\nContractors\nPeshmerga\nSons of Iraq,Mahdi Army (until 2008)\nSpecial Groups\nAsa'ib Ahl al-Haq\nKata'ib Hezbollah\nPromised Day Brigades\n(from 2008)\nBadr Brigades\nSoldiers of Heaven\nOther militias\nShia tribes\nAl-Qaeda:\nAl-Qaeda in Iraq (until\nJanuary 2006)\nMujahideen Shura Council\n(January 2006 – October 2006)\nIslamic State of Iraq (from\nOctober 2006)\nIslamic Army in Iraq\nAnsar al-Sunna\nNaqshbandi Army\nOther militias\nSunni tribes,Iraq War,https://en.wikipedia.org/wiki/Iraqi_civil_war_(2006%E2%80%932008),https://en.wikipedia.org/wiki/Iraq_War
2006,2013,Operation Astute\n,Australia\nNew Zealand\nMalaysia\nPortugal\nEast Timor (government\ntroops)\nUnited Nations soldiers,Renegade elements of the\nFDTL,2006 East Timorese crisis,https://en.wikipedia.org/wiki/Operation_Astute,https://en.wikipedia.org/wiki/2006_East_Timorese_crisis
2006,2018,Bakassi conflict\n,Cameroon,Democratic Republic of Bakassi\nNiger Delta militias\nPro-Nigerian militias,conflict in the Niger Delta and the piracy in\nthe Gulf of Guinea,https://en.wikipedia.org/wiki/Bakassi_conflict,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta
2006,2006,2006 Lebanon War\n,Israel,Hezbollah\nAllies:\nAmal\nPopular Guard\nPFLP-GC\nIran (Ynet report)\nICU (U.N. report),"Israeli–Lebanese conflict, the Iran–Israel\nproxy conflict and the war on terror",https://en.wikipedia.org/wiki/2006_Lebanon_War,https://en.wikipedia.org/wiki/Israeli%E2%80%93Lebanese_conflict
2006,2009,Eelam War IV\n,Sri Lanka\nSupported by\nPakistan,Liberation Tigers of Tamil\nEelam,Sri Lankan Civil War,https://en.wikipedia.org/wiki/Eelam_War_IV,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
2006,Ongoing,Mexican drug war\n,Mexico\nArmed Forces\nNational Guard\n(2019–present)\nFederal Police\n(2006–2019)\nState and municipal police\nforces\nConsulting and training\nsupport:\nUnited States\nMérida Initiative\nColombia\nNational Police of Colombia\nAustralia\nAustralian Federal Police\nCanada\nRCMP ACCBP,Principal Mexican cartels:\nGulf Cartel\nLos Metros\nLos Rojos\nSinaloa Cartel\nLos Chapitos\nLa Mayiza\nCJNG\nLNFM\nLos Viagras\nNortheast Cartel\nLos Zetas\nUnited Cartels\nOther cartels:\nLFM\nCSRL\nJuárez Cartel,war on drugs,https://en.wikipedia.org/wiki/Mexican_drug_war,https://en.wikipedia.org/wiki/War_on_drugs
,,,Philippines\nNational Bureau of\nInvestigation\nNon-state armed groups:\nPopular Revolutionary Army\n(EPR)\nZapatistas (EZLN)\nSelf-defense groups,Tijuana Cartel\nLa Barredora\nLa Unión Tepito\nDismantled cartels:\nMilenio Cartel (1980–2010)\nBeltrán-Leyva Cartel (1996–2017)\nIndependent Cartel of Acapulco\n(2010–2014)\nKnights Templar Cartel (2010–\n2017)\nSupport:\nMexican Narcosystem\nOrganized crime in Italy\nAlbanian mafia\nMexican Mafia\nMara Salvatrucha,,,
2006,2009,War in Somalia (2006–2009)\n,Invasion:\nEthiopia\nTFG\nUnited States\nSupported by:\nKenya\nInsurgency:\nEthiopia\nTFG\nPuntland\nGalmudug\nASWJ\nUnited States\nAMISOM\nBurundi\nKenya\nMalawi\nNigeria\nUganda,Invasion:\nIslamic Courts Union\nSupported by:\nONLF\nEritrea\nInsurgency:\nAl-Shabaab\nARS\nRas Kamboni Brigades\nJabhatul Islamiya\nMuaskar Anole\nICU loyalists,Ethiopian–Somali conflict and the Somali\nCivil War,https://en.wikipedia.org/wiki/War_in_Somalia_(2006%E2%80%932009),https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Somali_conflict
2007,Ongoing,Operation Juniper Shield\n,Algeria\nMorocco\nMauritania\nTunisia\nBurkina Faso\nChad\nMali\nNiger\nNigeria\nSenegal\nCameroon\nTogo\nGhana\nIvory Coast\nBenin\nCape Verde\nGambia\nGuinea\nGuinea-Bissau\nLiberia\nSierra Leone\nSupported and trained By:\nUnited States\nCanada\nFrance\nGermany\nNetherlands\nSpain\nUnited Kingdom\nDenmark\nCzech Republic\nSweden,Islamic militants\nal-Qaeda\nJama'at Nasr al-Islam wal\nMuslimin\nMOJWA (until 2013)\nAQIM\nAl-Mourabitoun (until 2017)\nAnsar al-Sharia\nMacina Liberation Front\nAnsar Dine (until 2017)\nBoko Haram (partially aligned\nwith ISIL since 2015)\nAnsaru\nISIL\nIslamic State in the Greater\nSahara\n(2015–present)\nIslamic State – West Africa\nProvince,global war on terrorism (Islamist insurgency\nin the Sahel),https://en.wikipedia.org/wiki/Operation_Juniper_Shield,https://en.wikipedia.org/wiki/War_on_terrorism
