Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1817,1864,Caucasian War,Russian Empire,"Avar Khanate
Circassia
Kingdom of Kartli-
Kakheti
Caucasian Imamate
Other Tribes of the North
Caucasus",,https://en.wikipedia.org/wiki/Caucasian_War,
1818,1818,Akure–Benin War,Benin Kingdom,Akure Kingdom,,https://en.wikipedia.org/wiki/Akure%E2%80%93Benin_War,
1818,1819,Fifth Xhosa War,"British Empire
Khoikhoi Forces","Forces of Xhosa Chief Maqana
Nxele",,https://en.wikipedia.org/wiki/Fifth_Xhosa_War,
1818,1828,Zulu wars of conquest,Zulu Kingdom,"Other remnants of the Mtetwa
Paramountcy",,https://en.wikipedia.org/wiki/Zulu_wars_of_conquest,
1819,1820,"Bolívar's campaign to
liberate New Granada
","United Provinces of New
Granada",Spain,"Venezuelan
War of Independence",https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada,https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada
1819,1819,Chuguev uprising,Russian Empire,Chuguev Regiment,,https://en.wikipedia.org/wiki/Chuguev_uprising,
Start,Finish,Name of conflict,Belligerents,,,,
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,
1820,1820,Revolution of 1820,Kingdom of the Two Sicilies,Carbonari,,https://en.wikipedia.org/wiki/Ferdinand_I_of_the_Two_Sicilies#1820_revolution,
1820,1820,"Cambodian rebellion
(1820)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)",Khmer anti-Vietnamese rebels,,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820)
1820,1824,"Turco-Egyptian
conquest of Sudan
(1820-1824)",Egypt Eyalet,"Funj Sultanate
Sultanate of Darfur Shaigiya
tribe",,https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824),https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824)
1820,1821,Farhi family revolt,Ottoman Empire,Farhi family and its Rebels,,,
1820,1821,Bani Bu Ali expedition,"Omani Empire
East India Company",Bani Bu Ali tribe,,https://en.wikipedia.org/wiki/Bani_Bu_Ali_expedition,
1820,1822,Ali Pasha's Revolt,Ottoman Empire,Ali Pasha of Yanina,,https://en.wikipedia.org/wiki/Ali_Pasha's_Revolt,
