Started,Ended,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,,Israel\nItaly\nJapan\nMongolia\nNATO\nNew Zealand\nPoland\nRomania\nSouth Korea\nTaiwan\nTurkey\nUnited Kingdom\nUnited States\nYugoslavia\nCroatia\nSlovenia,,,,
1991,1994,Djiboutian Civil War,Djibouti\nSupported by:\nFrance,FRUD,,https://en.wikipedia.org/wiki/Djiboutian_Civil_War,
1991,1993,Georgian Civil War\n,Pro-Shevardnadze\nforces\n22 December 1991 – 6\nJanuary 1992\nRebel factions of the\nNational Guard\nMkhedrioni\nTetri Artsivi\nMerab Kostava Society\nUnion of Afghans\n2 January 1992 – 10 March\n1992\nMilitary Council[76]\nInterim Government\n10 March 1992 – October\n1992\nState Council\nInterim Government\nOctober 1992 – 31\nDecember 1993\nGovernment of\nGeorgia\nGeorgian Armed Forces\nInternal Troops of\nGeorgia\nNational Guard of\nGeorgia\nSupported by:\nRussia,Pro-Gamsakhurdia forces\n22 December 1991 – 6 January 1992\nGovernment of Georgia\nNational Guard of Georgia\n6 January 1992 – March 1992\nNational Disobedience\nCommittee[76][77]\nMarch 1992 – September 1993\nGamsakhurdia's\ngovernment-in-exile\nPartisans\nUnits of the National Guard\n2 September 1993 – 6\nNovember 1993\nZugdidi-based government\n6 November 1993 – 31\nDecember 1993\nPartisans\nSupported by:\nChechen Republic of\nIchkeria,"post-Soviet\nconflicts, the Wars in the\nCaucasus, and the\nDissolution of the Soviet\nUnion",https://en.wikipedia.org/wiki/Georgian_civil_war_of_1991%E2%80%931993,https://en.wikipedia.org/wiki/Post-Soviet_conflicts
1992,2002,Algerian Civil War,Government of\nAlgeria\nMinor involvement:\nEgypt[78][79]\nTunisia[78][79]\nFrance[79][80]\nEuropean\nUnion[80]\nSouth Africa[81],Islamic Salvation Front\nloyalists\nMinor involvement:\nMorocco [79][82][83]\nLibya (until 1995)[79]\nSaudi Arabia (pre-war)[80]\nIran (alleged)[80]\nSaudi private donors[80]\nArmed Islamic Group (from\n1993)\nMinor involvement:\nSudan (alleged)[84][85][86]\nIran (alleged)[84][85][86]\nEgyptian Islamic Jihad (until\n1995)[87],,https://en.wikipedia.org/wiki/Algerian_Civil_War,
,,,,Salafist Group for\nPreaching and Combat (from\n1998)\nMinor involvement:\nAl-Qaeda[84],,,
1992,1992,1992 Venezuelan\ncoup d'état attempts,Venezuelan\nGovernment\nVenezuelan Armed\nForces,MBR-200\nCuba (alleged)\nDGI,,https://en.wikipedia.org/wiki/1992_Venezuelan_coup_d'%C3%A9tat_attempts,https://en.wikipedia.org/wiki/1992_Venezuelan_coup_d'%C3%A9tat_attempts
1992,1995,Bosnian War Part of\nthe Yugoslav Wars,"Until October 1992:\nBosnia and\nHerzegovina\nHerzeg-Bosnia\nCroatia\nOctober 1992–94:\nBosnia and\nHerzegovina\n1994–95:\nBosnia and\nHerzegovina\nHerzeg-Bosnia\nCroatia\nSupported by:\nNATO (bombing\noperations, 1995)",Until May 1992:\nRepublika Srpska\nSerbian Krajina\nSFR Yugoslavia\nOctober 1992–94:\nHerzeg-Bosnia\nCroatia\nMay 1992–94:\nRepublika Srpska\nSerbian Krajina\nWestern Bosnia\nSupported by:\nFR Yugoslavia\n1994–95:\nRepublika Srpska\nSerbian Krajina\nWestern Bosnia\nSupported by:\nFR Yugoslavia,,https://en.wikipedia.org/wiki/Bosnian_War,https://en.wikipedia.org/wiki/Yugoslav_Wars
1992,1996,Afghan Civil War\n(1992–1996)\n,"Taliban (from late\n1994)\nKhalq (pro Taliban\nfactions, from late\n1994)\nAl-Qaeda (from\nearly 1996)\nSupported by:\nPakistan (from late\n1994)","Islamic State of\nAfghanistan\nNorthern Alliance\nJamiat-e Islami\nIttehad-e Islami\nMahaz-e Milli\nHarakat-i Islami\nHarakat-i-Inqilab\nJebh-e Nejat-e Melli\nHezb-e Islami Khalis (until\nmid-1992)\nHezb-i Wahdat (until Dec.\n1992)\nJunbish-i Milli (until Jan.\n1994; from Aug. 1994)\nHezb-e Islami Gulbuddin\n(from late 1994)\nShura-e Nazar\nSupported by:\nSaudi Arabia\nUzbekistan (until Jan. 1994;\nfrom Aug. 1994)\nIran (until Dec. 1992)\nHezb-e Islami Gulbuddin\n(until late 1994)\nKhalq (pro Gulbuddin\nfactions, until late 1994)\nSupported by:\nPakistan (until late 1994)",Afghan\nconflict and the Iran–\nSaudi Arabia proxy\nconflict (after Dec.\n1992),https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%931996),https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%931996)
,,,,"Hezb-i Wahdat (after Dec.\n1992)\nSupported by:\nIran (from Dec. 1992)\nJunbish-i Milli (Jan. 1994-\nAug. 1994)\nSupported by:\nUzbekistan (Jan.-Aug. 1994)\nRegional Kandahar Militia\nLeaders\nAfghan Army and Airforce\nRemnants (allegedly, until\nOctober 1992)",,,
1992,1997,Tajikistani Civil War\n,/ Tajikistan\nPopular Front of\nTajikistan[88]\nCommunist Party\nof Tajikistan\nSocialist Party of\nTajikistan\n/ Russia\nUzbekistan\n/ Kazakhstan\n/ Kyrgyzstan\nSupported by:\nBelarus[89]\n(weapons supplies)\nUNMOT\nAustria\nBangladesh\nBulgaria\nCzech Republic\nDenmark\nGhana\nHungary\nIndonesia\nJordan\nNepal\nNigeria\nPoland\nSwitzerland\nUkraine\nUruguay,"United Tajik Opposition\nIslamic Renaissance Party\nTajik Democratic Party\nParty of People's Unity\nRastokhez Popular Movement\nLali Badakhshan\nAfghanistan (until 1996)\nJamiat-e Islami (until 1996)\nSupported by:\nal-Qaeda[90]\nIslamic Movement of Uzbekistan\nTaliban\nIran (alleged, denied by\nIran)[91][92][93][94]",post-Soviet\nconflicts and spillover\nof the Afghan Civil\nWar (1992–1996),https://en.wikipedia.org/wiki/Tajikistani_Civil_War,https://en.wikipedia.org/wiki/Post-Soviet_conflicts
