Started,Ended,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1998,2002,Caprivi conflict,Namibia,Caprivi Liberation Army,,,
1995,1995,Cenepa War,Peru,"Ecuador
Armament support by:
Argentina
Chile
Diplomatic support by:
United States",,,
1995,2002,"Eelam War III
","Sri Lanka
Military of Sri Lanka","Liberation Tigers of Tamil
Eelam","Sri Lankan Civil
War",,
1995,2018,"Second Afar
Insurgency Part of the
Eritrean–Ethiopian
border conflict","Ethiopia
Eritrea","ARDUF
RSADO",,,
1995,1995,"1995 Sudanese-Ugandan
border conflict",Uganda,Sudan,,,
1995,1995,"Hanish Islands conflict
",Eritrea,Yemen,"conflicts in
the Horn of Africa",,
1996,1999,Arab-Masalit conflict,"Arab tribes
Sudan",Masalit tribes,,,
1996,2006,Nepalese Civil War,"Communist Party
of Nepal (Maoist)
People's Liberation
Army, Nepal","Kingdom of Nepal
Nepalese Armed Forces
Royal Nepali Army
Nepal Police
Armed Police Force",,,
,,,"Supported by:
Communist Party
of India (Maoist)
Ceylon Communist
Party (Maoist)[118]","Supported by:
India[119]
Pakistan (from
2004)[120][121][122]
Belgium[123]
China[124]
United Kingdom[125]
France[125]
United States[125]",,,
1996,2001,"Afghan Civil War
(1996–2001) Part of
the Afghan conflict",Afghanistan,"Taliban
Al-Qaeda
Islamic Uzbek Movement
Pakistan[126][127][128][129][130]",,,
1996,1997,"First Congo War
","AFDL
Rwanda
Uganda[131]
Burundi[132]
Angola[132]
SPLA[133]
Eritrea[134]
Supported by:
South Africa[135]
Zambia[136]
Zimbabwe[135]
Ethiopia[137]
Tanzania
United States
(covertly)[138]
Mai-Mai[f]","Zaire
FAZ
White Legion
Sudan[133]
Chad[139]
Ex-FAR/ALiR
Interahamwe
CNDD-FDD[140]
UNITA[141]
ADF[142]
FLNC[143]
Supported by:
France
Central African Republic
China[144]
Israel[144]
Kuwait (denied)[144]
Mai-Mai[f]","Congolese Civil
Wars, aftermath of the
Rwandan genocide,
spillovers of the Burundian
Civil War, the Second
Sudanese Civil War and
the Angolan Civil War",,
1996,Ongoing,"ADF insurgency
","Uganda
DR Congo
Armed Forces (FARDC)
MONUSCO
Force Intervention
Brigade","ADF (1996–2015)
NALU
ISIL[148]
IS-CAP[149]
ADF-Baluku
ADF-Mukulu
NALU
RCD/K-ML
APC[150]
Mai-Mai Kyandenga (2020–
present)
Supported by: FARDC
elements[150]
LRA
Al-Shabaab[148]
(disputed)[151]
Various Jihadi groups
(Ugandan and MONUSCO
claim)[151]
Sudan (1990s; currently
unknown)","Kivu
conflict",https://en.wikipedia.org/wiki/List_of_ongoing_military_conflicts,
1997,1997,"1997 Albanian civil
unrest","Albanian Government
Democratic Party
SHIK
Part of the
Albanian Police","Albanian Rebels
Armed civilians who lost their
properties
Armed gangs
Albanian Army defectors",,,
,,,"Republican Guard
UNSC missions
Austria
France
Germany
Greece
Italy
Romania
Spain
Turkey
United States","Salvation Committees
Socialist Party
Social Democratic Party",,,
1997,1997,"1997 Sudanese-Eritrean
border conflict",Eritrea,Sudan,,,
1997,1999,"Republic of the Congo
Civil War (1997–1999)
","Armed Forces of
the Republic of the
Congo (from October
1997)
Cobra Militia
Rwandan Hutu
Militia
Angola[152]
Chad[152]","Armed Forces of the
Republic of the Congo (to
October 1997)
Cocoye Militia
Ninja Militia
Nsiloulou
Supported by:
Jonas Savimbi
FLEC[153]
Supported by:
DR Congo","aftermaths
of the First Congo
War and Rwandan
genocide",,
1997,1997,"1997 clashes in
Cambodia","Cambodian People's
Party","FUNCINPEC
Khmer Rouge (mostly in the
northern provinces)[154]",,,
1998,1998,"1998 Monrovia
clashes
","Liberian
government (Taylor
loyalists)","Johnson's forces (ex-
ULIMO-J)
Limited involvement:
Nigeria
United States","aftermath
of the First Liberian
Civil War",,
1998,1999,"Kosovo War Part of
the Yugoslav
Wars[155]","Kosovo Liberation
Army
FARK[g]
NATO (from 24 March
1999)
Belgium
Canada
Denmark
France
Germany
Italy
Netherlands
Norway[156]
Portugal
Spain
Turkey[157]
United Kingdom
United States",FR Yugoslavia,,,
1998,2000,"Eritrean–Ethiopian
War
",Ethiopia,Eritrea,"Eritrean–
Ethiopian border
conflict",,
