Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",,,
1900,1905,"1900–1905 phase of the
Mat Salleh Rebellion","British Empire
North Borneo",Rebels,,,
1900,1920,Somaliland campaign,"British Empire
Ethiopian Empire
Italian Empire",Dervish State,,https://en.wikipedia.org/wiki/Somaliland_campaign,
1900,1900,War of the Golden Stool,British Empire,Ashanti Empire,,https://en.wikipedia.org/wiki/War_of_the_Golden_Stool,
1900,1905,Zande resistance[2],"British Empire
Anglo-Egyptian
Sudan","Sultan Yam-bio's rebel
forces",,https://en.wikipedia.org/wiki/Zande_resistance?action=edit&redlink=1,
1900,1902,"Muhammad Umar Khan's
rebellion[3]","British Empire
State of Makran","Forces loyal to
Muhammad Umar Khan",,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1
1900,1900,1900 Hamawand revolt[4],Ottoman Empire,"Hamawand rebels
Supported by:
Sheikhs of
Sulaymaniyah and
Qaradāgh",,https://en.wikipedia.org/wiki/1900_Hamawand_revolt?action=edit&redlink=1,
1900,1900,1900 Sudan revolt[5],"British Empire
Anglo-Egyptian
Sudan",Sudanese rebels,,https://en.wikipedia.org/wiki/1900_Sudan_revolt?action=edit&redlink=1,
1900,1900,"French conquest of
Borno[5]",France,Borno,,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri
1900,1907,Unrest in Java[6],Dutch Empire,"Peasant rebels
Lone-wolf robbers and
arsonists",,https://en.wikipedia.org/wiki/Unrest_in_Java?action=edit&redlink=1,
1900,1903,"1900–1903 uprising in
southwest Madagascar[7]",France,Rebels,,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1
1900,1900,Shoubak revolt of 1900,Ottoman Empire,Shoubakis,,https://en.wikipedia.org/wiki/Shoubak_revolts#Shoubak_revolt_of_1900,
1900,1900,"Sharjah conquest of Ras
Al Khaimah",Emirate of Sharjah,Ras Al Khaimah,,https://en.wikipedia.org/wiki/Saqr_bin_Khalid_Al_Qasimi#Retaking_Ras_Al_Khaimah,https://en.wikipedia.org/wiki/Saqr_bin_Khalid_Al_Qasimi#Retaking_Ras_Al_Khaimah
1900,1900,"Russian invasion of
Manchuria",Russian Empire,"Qing dynasty
Yìhéquán",,https://en.wikipedia.org/wiki/Russian_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Russian_invasion_of_Manchuria
1900,1901,Mahsud Waziri blockade,"British Empire
British Raj",Mahsud rebels,,https://en.wikipedia.org/wiki/Mahsud_Waziri_blockade,
1900,1901,Kuwaiti–Rashidi war,Jabal Shammar,"Kuwait
House of Saud",,https://en.wikipedia.org/wiki/Kuwaiti%E2%80%93Rashidi_war,
,,,,"Arab tribes
Al-Muntafiq
Mutayr
Otaibah
Al-Dhafeer
Ajman tribe
Al-Hawajir
Al Murrah
Bani Khalid
Subay'
Suhool",,,
1901,1901,"Risings among the Agar
Dinka[2]","British Empire
Anglo-Egyptian
Sudan",Agar Dinka rebels,,https://en.wikipedia.org/wiki/Risings_among_the_Agar_Dinka?action=edit&redlink=1,https://en.wikipedia.org/wiki/Risings_among_the_Agar_Dinka?action=edit&redlink=1
1901,1901,"Bastaard uprising of
1901[8]","German Empire
German South
West Africa","Bastaards from
Grootfontein tribe",,https://en.wikipedia.org/wiki/Bastaard_uprising_of_1901?action=edit&redlink=1,https://en.wikipedia.org/wiki/Bastaard_uprising_of_1901?action=edit&redlink=1
1901,1907,Subjugation of Jambi[6],Dutch Empire,Jambi,,https://en.wikipedia.org/wiki/Subjugation_of_Jambi?action=edit&redlink=1,
1901,1901,"French conquest of the
Dendi Kingdom[9]",France,Dendi Kingdom,,https://en.wikipedia.org/wiki/French_conquest_of_the_Dendi_Kingdom?action=edit&redlink=1,https://en.wikipedia.org/wiki/French_conquest_of_the_Dendi_Kingdom?action=edit&redlink=1
1901,1903,"Liberating Revolution
(Venezuela)",Venezuela,Liberal revolutionaries,,https://en.wikipedia.org/wiki/Liberating_Revolution_(Venezuela),https://en.wikipedia.org/wiki/Liberating_Revolution_(Venezuela)
1901,1902,Anglo-Aro War,British Empire,Aro Confederacy,,https://en.wikipedia.org/wiki/Anglo-Aro_War,
1901,1901,"Battle of Holy Apostles
Monastery",Armenian fedayi,Ottoman Empire,,https://en.wikipedia.org/wiki/Battle_of_Holy_Apostles_Monastery,https://en.wikipedia.org/wiki/Battle_of_Holy_Apostles_Monastery
1901,1903,"1901 Mapondera
Rebellion",British Empire,"Forces loyal to Kadungure
Mapondera",,https://en.wikipedia.org/wiki/Second_Matabele_War#1901_Mapondera_Rebellion,https://en.wikipedia.org/wiki/Second_Matabele_War#1901_Mapondera_Rebellion
1901,1936,Holy Man's Rebellion,"French Indochina
Siam",Phu Mi Bun Movement,,https://en.wikipedia.org/wiki/Holy_Man's_Rebellion,
1902,1902,"Kala-i-Mor railway worker's
revolt[10]",Russian Empire,Rebel railway workers,,https://en.wikipedia.org/wiki/Kala-i-Mor_railway_worker's_revolt?action=edit&redlink=1,https://en.wikipedia.org/wiki/Kala-i-Mor_railway_worker's_revolt?action=edit&redlink=1
1902,1902,"Haitian Civil War of
1902[11]",Haiti,Anténor Firmin's rebels,,https://en.wikipedia.org/wiki/Haitian_Civil_War_of_1902?action=edit&redlink=1,https://en.wikipedia.org/wiki/Haitian_Civil_War_of_1902?action=edit&redlink=1
1902,1902,1902 Sudan revolt[5],"British Empire
Anglo-Egyptian
Sudan",Sudanese rebels,,https://en.wikipedia.org/wiki/1902_Sudan_revolt?action=edit&redlink=1,
1902,1902,Merauke uprising[6],Dutch Empire,Marind rebels,,https://en.wikipedia.org/wiki/Merauke_uprising?action=edit&redlink=1,
1902,1904,"Kuanhama Rebellion of
1902-1904[12]",Portuguese Empire,Kuanhama,,https://en.wikipedia.org/wiki/Kuanhama_Rebellion_of_1902-1904?action=edit&redlink=1,https://en.wikipedia.org/wiki/Kuanhama_Rebellion_of_1902-1904?action=edit&redlink=1
1902,1904,Bailundo revolt,Portuguese Empire,"Ovimbundu Kingdoms
Kisanji
Luimbi",,https://en.wikipedia.org/wiki/Bailundo_revolt,
1902,1904,Ngiao Rebellion,Siam,Shan rebels,,https://en.wikipedia.org/wiki/Ngiao_rebellion,
1902,1903,"Venezuelan crisis of 1902–
1903","German Empire
British Empire
Kingdom of Italy","United States of
Venezuela",,https://en.wikipedia.org/wiki/Venezuelan_crisis_of_1902%E2%80%931903,https://en.wikipedia.org/wiki/Venezuelan_crisis_of_1902%E2%80%931903
1902,1902,Kabul Khel expedition[13],"British Empire
British Raj",Kabul Khel rebels,,https://en.wikipedia.org/wiki/Kabul_Khel#1902_war,
,,,,,,,
1902,1903,"Expeditions against the
Bantin[6] (Location:
Kalimantan)",Dutch Empire,Bantin,,https://en.wikipedia.org/wiki/Expeditions_against_the_Bantin?action=edit&redlink=1,https://en.wikipedia.org/wiki/Expeditions_against_the_Bantin?action=edit&redlink=1
1902,1906,"Korintji expeditions[6]
(Location: Sumatra)",Dutch Empire,Korintji,,https://en.wikipedia.org/wiki/Korintji_expeditions?action=edit&redlink=1,https://en.wikipedia.org/wiki/Sumatra
1902,1907,"Campaigns against
Dayak[6] (Location:
Kalimantan)",Dutch Empire,Dayak,,https://en.wikipedia.org/wiki/Campaigns_against_Dayak?action=edit&redlink=1,https://en.wikipedia.org/wiki/Campaigns_against_Dayak?action=edit&redlink=1
1902,1902,"Italian–Ottoman crisis of
1902[14]",Kingdom of Italy,Ottoman Empire,,https://en.wikipedia.org/wiki/Italy%E2%80%93Turkey_relations#History,https://en.wikipedia.org/wiki/Italy%E2%80%93Turkey_relations#History
1903,1903,Great Ming Uprising,Qing dynasty,"Heavenly Kingdom of the
Great Mingshun",,https://en.wikipedia.org/wiki/1911_Revolution#Great_Ming_Uprising,
1903,1903,1903 Tegale uprising[2],"British Empire
Anglo-Egyptian
Sudan","Muhammad al-Amin's
rebel forces",,https://en.wikipedia.org/wiki/1903_Tegale_uprising?action=edit&redlink=1,
1903,1903,"1903 uprising in
Bukhara[15]","Russian Empire
Emirate of
Bukhara",Anti-tax rebels,,https://en.wikipedia.org/wiki/1903_uprising_in_Bukhara?action=edit&redlink=1,https://en.wikipedia.org/wiki/1903_uprising_in_Bukhara?action=edit&redlink=1
1903,1910,"Risings among the Atwot
Dinka[2]","British Empire
Anglo-Egyptian
Sudan",Atwot Dinka rebels,,https://en.wikipedia.org/wiki/Risings_among_the_Atwot_Dinka?action=edit&redlink=1,https://en.wikipedia.org/wiki/Risings_among_the_Atwot_Dinka?action=edit&redlink=1
1903,1905,Rijal al-Ma rebellion[16],Ottoman Empire,Rijal al-Ma,,https://en.wikipedia.org/wiki/Rijal_al-Ma_rebellion?action=edit&redlink=1,
1903,1903,Kavango uprising[8],"German Empire
German South
West Africa",Kavango rebels,,https://en.wikipedia.org/wiki/Kavango_uprising?action=edit&redlink=1,
1903,1903,Actions on Yapen[6],Dutch Empire,Tribes of Yapen,,https://en.wikipedia.org/wiki/Actions_on_Yapen?action=edit&redlink=1,
1903,1909,"Resistance in
Minangkabau[6]",Dutch Empire,Anti-coffee rebels,,https://en.wikipedia.org/wiki/Resistance_in_Minangkabau?action=edit&redlink=1,https://en.wikipedia.org/wiki/Resistance_in_Minangkabau?action=edit&redlink=1
1903,1910,"Mentawei islands
campaign[6]",Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Mentawei_islands_campaign?action=edit&redlink=1,https://en.wikipedia.org/wiki/Mentawei_islands_campaign?action=edit&redlink=1
1903,"1916
(Solor)
1940
(Flores)","Military actions in Flores
and Solor[6]",Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Military_actions_in_Flores_and_Solor?action=edit&redlink=1,https://en.wikipedia.org/wiki/Military_actions_in_Flores_and_Solor?action=edit&redlink=1
1903,1903,Kerinci Expedition,Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Kerinci_Expedition,
1903,1903,Battle of Jo-Laban[17][18],"Kuwait
Emirate of Nejd
and Hasa
Arab tribes
Al-Muntafiq
Ajman tribe
Al Murrah
Subay'
Suhool
Al-Hawajir","Jabal Shammar
Mutayr",,https://en.wikipedia.org/wiki/Battle_of_Jo-Laban?action=edit&redlink=1,
,,,"Bani Khalid
Al-Awazem",,,,
1903,1903,May Coup (Serbia),Kingdom of Serbia,House of Obrenović,,https://en.wikipedia.org/wiki/May_Coup_(Serbia),
1903,1903,"Ilinden–Preobrazhenie
Uprising",Ottoman Empire,"IMARO
SMAC
Kruševo Republic
Strandzha Republic",,https://en.wikipedia.org/wiki/Ilinden%E2%80%93Preobrazhenie_Uprising,https://en.wikipedia.org/wiki/Ilinden%E2%80%93Preobrazhenie_Uprising
1903,1904,British expedition to Tibet,British Empire,"Qing Dynasty
Tibet",,https://en.wikipedia.org/wiki/British_expedition_to_Tibet,
1903,1904,"British conquest of the
Sokoto Caliphate[19]",British Empire,Sokoto Caliphate,,https://en.wikipedia.org/wiki/British_conquest_of_the_Sokoto_Caliphate?action=edit&redlink=1,https://en.wikipedia.org/wiki/British_conquest_of_the_Sokoto_Caliphate?action=edit&redlink=1
1903,1903,"British conquest of the
Kano Emirate",British Empire,Kano Emirate,,https://en.wikipedia.org/wiki/Kano_Emirate#Fall,https://en.wikipedia.org/wiki/Kano_Emirate#Fall
1903,1907,"First Saudi–Rashidi War
","Emirate of Nejd and
Hasa","Emirate of Ha'il
Ottoman Empire","Unification of
Saudi Arabia",https://en.wikipedia.org/wiki/First_Saudi%E2%80%93Rashidi_War_(1903%E2%80%931907),https://en.wikipedia.org/wiki/Unification_of_Saudi_Arabia
1903,1903,"Uprising of Namas in
Maltahöhe[8]","German Empire
German South
West Africa",Nama rebels,,https://en.wikipedia.org/wiki/Uprising_of_Namas_in_Maltah%C3%B6he?action=edit&redlink=1,https://en.wikipedia.org/wiki/Uprising_of_Namas_in_Maltah%C3%B6he?action=edit&redlink=1
1903,1904,"Bondelswarts uprising of
1904[8]","German Empire
German South
West Africa",Bondelswarts,,https://en.wikipedia.org/wiki/Bondelswarts_uprising_of_1904?action=edit&redlink=1,https://en.wikipedia.org/wiki/Bondelswarts_uprising_of_1904?action=edit&redlink=1
1904,1904,"Adam Wad Muhammad's
uprising[2]","British Empire
Anglo-Egyptian
Sudan","Adam Wad Muhammad's
rebel forces",,https://en.wikipedia.org/wiki/Adam_Wad_Muhammad's_uprising?action=edit&redlink=1,https://en.wikipedia.org/wiki/Adam_Wad_Muhammad's_uprising?action=edit&redlink=1
1904,1904,"Mahsud expedition of
1904[20]","British Empire
British Raj",Mahsud rebels,,https://en.wikipedia.org/wiki/Mahsud_expedition_of_1904?action=edit&redlink=1,https://en.wikipedia.org/wiki/Mahsud_expedition_of_1904?action=edit&redlink=1
1904,1904,1904 Ondonga uprising[8],"German Empire
German South
West Africa",Ondonga rebels,,https://en.wikipedia.org/wiki/1904_Ondonga_uprising?action=edit&redlink=1,
1904,1909,1904 Nama uprising[8],"German Empire
German South
West Africa",Nama rebels,,https://en.wikipedia.org/wiki/1904_Nama_uprising?action=edit&redlink=1,
1904,1904,1904 Sudan revolt[5],"British Empire
Anglo-Egyptian
Sudan",Sudanese rebels,,https://en.wikipedia.org/wiki/1904_Sudan_revolt?action=edit&redlink=1,
1904,1904,"Campaign in the Gajo and
Alas islands[6]Part of the
Aceh War",Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Campaign_in_the_Gajo_and_Alas_islands?action=edit&redlink=1,https://en.wikipedia.org/wiki/Campaign_in_the_Gajo_and_Alas_islands?action=edit&redlink=1
1904,1904,"Dutch intervention in Bali
(1904)[6]",Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Dutch_intervention_in_Bali_(1904)?action=edit&redlink=1,https://en.wikipedia.org/wiki/Dutch_intervention_in_Bali_(1904)?action=edit&redlink=1
1904,1904,Resistance on Tidore[6],Dutch Empire,Tidore,,https://en.wikipedia.org/wiki/Resistance_on_Tidore?action=edit&redlink=1,
1904,1909,Sulawesi expeditions[6],Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Sulawesi_expeditions?action=edit&redlink=1,
1904,1905,"1904–1905 uprising in
Madagascar","French Third Republic
Malagasy Catholics","Rebels
Malagasy Protestants",,https://en.wikipedia.org/wiki/1904%E2%80%931905_uprising_in_Madagascar,https://en.wikipedia.org/wiki/1904%E2%80%931905_uprising_in_Madagascar
1904,1907,"Portuguese campaign
against the Ovambo",Portuguese Empire,Ovambo,,https://en.wikipedia.org/wiki/Portuguese_campaign_against_the_Ovambo?action=edit&redlink=1,https://en.wikipedia.org/wiki/Portuguese_campaign_against_the_Ovambo?action=edit&redlink=1
,,(See Battle of Mufilo),,,,https://en.wikipedia.org/wiki/Battle_of_Mufilo,
1904,1904,Vaccine Revolt,"First Brazilian
Republic",Anti-vaccination rebels,,https://en.wikipedia.org/wiki/Vaccine_Revolt,
1904,1904,Revolution of 1904,"Uruguayan
government",National Party,,https://en.wikipedia.org/wiki/Revolution_of_1904,
1904,1904,1904 Sasun uprising,Ottoman Empire,Armenian fedayees,,https://en.wikipedia.org/wiki/1904_Sasun_uprising,
1904,1908,Herero Wars,German Empire,Herero and Nama peoples,,https://en.wikipedia.org/wiki/Herero_Wars,
1904,1905,Russo-Japanese War,Empire of Japan,Russian Empire,,https://en.wikipedia.org/wiki/Russo-Japanese_War,
1904,1905,"Yemeni Rebellion of 1904
",Zaidis,Ottoman Empire,"Yemeni–
Ottoman Conflicts",https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts#Yemeni_Rebellion_of_1904,https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts
1904,1908,Macedonian Struggle,"Hellenic Macedonian
Committee","Internal Macedonian
Revolutionary
Organization",,https://en.wikipedia.org/wiki/Macedonian_Struggle,
1905,1905,Ping-liu-li Uprising,Qing dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Ping-liu-li_Uprising,
1905,1906,Military actions in Onin[6],Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Military_actions_in_Onin?action=edit&redlink=1,
1905,1905,"Ottoman incursion into
Persia[21]",Ottoman Empire,"Sublime State of
Persia",,https://en.wikipedia.org/wiki/Ottoman_incursion_into_Persia?action=edit&redlink=1,https://en.wikipedia.org/wiki/Ottoman_incursion_into_Persia?action=edit&redlink=1
1905,1911,"Military actions Sumba and
Sumbawa[6]",Dutch Empire,Anti-Dutch forces,,https://en.wikipedia.org/wiki/Military_actions_Sumba_and_Sumbawa?action=edit&redlink=1,https://en.wikipedia.org/wiki/Military_actions_Sumba_and_Sumbawa?action=edit&redlink=1
1905,1911,"Persian Constitutional
Revolution","The Revolution:
June 1905 – August
1906
Secret Center[22]
Social Democratic Party[22]
Society of Humanity[22]
Revolutionary
Committee[22]
Secret Society[22]
Semi-organized
groups:
Ulama and seminary
students[23]
Committee of
Merchants[24]
Committee of Guild
Elders[25]
Students of Dar ul-Funun,
School of Political Science
and School of
Agriculture[25]
Struggle and Civil War:
August 1906 – July 1909
Parliament
Tabriz Council[26]
Society of Azerbaijanis[27]","Qajar Iran
Nazmiyeh[23]
Cossack Brigade[23]
Qajar Iran
Cossack Brigade
Russian Empire[30]
Shahsevans[26]",,https://en.wikipedia.org/wiki/Persian_Constitutional_Revolution,https://en.wikipedia.org/wiki/Persian_Constitutional_Revolution
,,,"Central Society[28]
Dashnak[29]
Society of Guilds[27]
Society of College
Graduates[27]",,,,
1905,1905,"Argentine Revolution of
1905",Argentina,Radical Civic Union,,https://en.wikipedia.org/wiki/Argentine_Revolution_of_1905,https://en.wikipedia.org/wiki/Argentine_Revolution_of_1905
1905,1905,Shoubak Revolt of 1905,Ottoman Empire,Shoubakis,,https://en.wikipedia.org/wiki/Shoubak_revolts#Shoubak_revolt_of_1905,
1905,1905,Łódź insurrection,Russian Empire,Polish worker militias,,https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_insurrection,
1905,1905,"Kurdish rebellion of
1905[31]",Ottoman Empire,Kurdish rebels,,https://en.wikipedia.org/wiki/Kurdish_rebellion_of_1905?action=edit&redlink=1,https://en.wikipedia.org/wiki/Kurdish_rebellion_of_1905?action=edit&redlink=1
1905,1905,Theriso revolt,"Ottoman Empire
Cretan State
Supported By:
Russian Empire",Cretan rebels,,https://en.wikipedia.org/wiki/Theriso_revolt,
1905,1906,Batang uprising,Qing Dynasty,Tibetan Buddhists,,https://en.wikipedia.org/wiki/Batang_uprising,
1905,1907,"Russian Revolution of
1905",Russian Empire,Revolutionaries,,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905
1905,1907,Maji Maji Rebellion,German Empire,Indigenous rebels,,https://en.wikipedia.org/wiki/Maji_Maji_Rebellion,
1905,1906,"Yemeni Expedition of 1905
",Zaidis,Ottoman Empire,"Yemeni–
Ottoman Conflicts",https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts#Yemeni_Expedition_of_1905,https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts
1905,1905,"South Sulawesi
expeditions of 1905",The Netherlands,"South Sulawesi kingdoms
of Bone, Luwu and Wajo",,https://en.wikipedia.org/wiki/South_Sulawesi_expeditions_of_1905,https://en.wikipedia.org/wiki/South_Sulawesi_expeditions_of_1905
1906,1906,Taba Crisis of 1906,British Empire,Ottoman Empire,,https://en.wikipedia.org/wiki/Taba_Crisis,
1906,1907,Resistance in Lombok[6],Dutch Empire,Messianic rebels,,https://en.wikipedia.org/wiki/Resistance_in_Lombok?action=edit&redlink=1,
1906,1908,"Actions against fighters
from Jambi in Indragiri[6]
(Location: Sumatra)",Dutch Empire,Jambi,,https://en.wikipedia.org/wiki/Actions_against_fighters_from_Jambi_in_Indragiri?action=edit&redlink=1,https://en.wikipedia.org/wiki/Actions_against_fighters_from_Jambi_in_Indragiri?action=edit&redlink=1
1906,1906,"Ottoman invasion of
Persia (1906)",Ottoman Empire,"Sublime State of
Persia",,https://en.wikipedia.org/wiki/Ottoman_invasion_of_Persia_(1906),https://en.wikipedia.org/wiki/Ottoman_invasion_of_Persia_(1906)
1906,1906,"Sokoto Uprising of
1906[32]",British Empire,Rebels,,https://en.wikipedia.org/wiki/Sokoto_Uprising_of_1906?action=edit&redlink=1,https://en.wikipedia.org/wiki/Sokoto_Uprising_of_1906?action=edit&redlink=1
1906,1906,"1906 Mesopotamia
uprising",Ottoman Empire,Mesopotamian tribesmen,,https://en.wikipedia.org/wiki/1906_Mesopotamia_uprising,https://en.wikipedia.org/wiki/1906_Mesopotamia_uprising
1906,1906,"Dutch intervention in Bali
(1906)",The Netherlands,"Badung
Tabanan
Klungkung",,https://en.wikipedia.org/wiki/Dutch_intervention_in_Bali_(1906),https://en.wikipedia.org/wiki/Dutch_intervention_in_Bali_(1906)
1906,1906,Bambatha Rebellion,British Empire,Zulu,,https://en.wikipedia.org/wiki/Bambatha_Rebellion,
1907,1907,"Campaign against the
Mahafaly[33]",France,"Onilahy (Mahafaly)
kingdom",,https://en.wikipedia.org/wiki/Campaign_against_the_Mahafaly?action=edit&redlink=1,https://en.wikipedia.org/wiki/Campaign_against_the_Mahafaly?action=edit&redlink=1
1907,1918,Asir rebellion[34],"Idrisid Emirate of Asir
Supported by:
Kingdom of Italy
(1911–1912)",Ottoman Empire,,https://en.wikipedia.org/wiki/Asir_rebellion?action=edit&redlink=1,
,,,"British Empire
(1915–1918)",,,,
1907,1907,"Dersim uprising of 1907[35]
",Ottoman Empire,Kurdish rebels,"Dersim
uprisings",https://en.wikipedia.org/wiki/Dersim_uprising_of_1907?action=edit&redlink=1,https://en.wikipedia.org/wiki/Dersim_uprisings?action=edit&redlink=1
1907,1907,War of 1907,El Salvador,"Nicaragua
Salvadoran exiles
American filibusters
Honduras",,https://en.wikipedia.org/wiki/War_of_1907,
1907,1907,Huanggang Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Huanggang_Uprising,
1907,1907,Huizhou Qinühu Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Huizhou_Qinuhu_Uprising,
1907,1907,Anqing Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Anqing_Uprising,
1907,1907,Qinzhou Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Qinzhou_Uprising,
1907,1907,Zhennanguan Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Zhennanguan_Uprising,
1907,1907,Bitlis uprising (1907),Ottoman Empire,Kurdish rebels,,https://en.wikipedia.org/wiki/Bitlis_uprising_(1907),
1907,1910,"Dembos War of 1907-
1910[32]
More info: Revoltas e
Campanhas nos Dembos
(1872–1919) (https://repos
itorio.iscte-iul.pt/bitstream/
10071/1444/1/Revoltas%2
0e%20Campanhas%20no
s%20Dembos%20_1872-1
919.pdf)
(In Portuguese)",Portuguese Empire[12],Dembos[12],,https://en.wikipedia.org/wiki/Dembos_War_of_1907-1910?action=edit&redlink=1,https://en.wikipedia.org/wiki/Dembos_War_of_1907-1910?action=edit&redlink=1
1907,1907,Anti-Foreign Revolt[12],France,"Forces loyal to Sheika Ma
Al-Ainine (Ma al-
'Aynayn ?)",,https://en.wikipedia.org/wiki/Anti-Foreign_Revolt?action=edit&redlink=1,
1907,1907,Mutair revolt[36],"Emirate of Nejd and
Hasa",Mutair tribe,,https://en.wikipedia.org/wiki/Mutair_revolt?action=edit&redlink=1,
1907,1907,"1907 Romanian peasants'
revolt",Kingdom of Romania,Romanian peasants,,https://en.wikipedia.org/wiki/1907_Romanian_peasants'_revolt,https://en.wikipedia.org/wiki/1907_Romanian_peasants'_revolt
1907,1907,Honduran-Nicaraguan War,Nicaragua,Honduras,,https://en.wikipedia.org/wiki/History_of_Honduras_(1838%E2%80%931932)#Expanded_role_of_the_United_States_.281907.E2.80.931919.29,
1907,1907,Beipu uprising,Empire of Japan,"Hakka
Saisiyat",,https://en.wikipedia.org/wiki/Beipu_uprising,
1907,1907,"1907 Diyarbakır
uprising[37]","Ottoman Empire
Ibrahim Pasha's
autonomy in Viranşehir",Rebels of Diyarbakır,,https://en.wikipedia.org/wiki/1907_Diyarbak%C4%B1r_uprising?action=edit&redlink=1,https://en.wikipedia.org/wiki/1907_Diyarbak%C4%B1r_uprising?action=edit&redlink=1
1907,1908,"Zakka Khel raids on towns
and villages in the British
Raj",British Raj,"Zakka Khel clan of the
Afridi",,"https://en.wikipedia.org/wiki/Bazar_Valley_campaign#Raids_on_British_Indian_towns,_1907-1908","https://en.wikipedia.org/wiki/Bazar_Valley_campaign#Raids_on_British_Indian_towns,_1907-1908"
1908,1908,Qin-lian Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Qinlian_Uprising,
1908,1908,Hekou Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Hekou_Uprising,
1908,1908,Mapaoying Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/Mapaoying_Uprising,
1908,1909,"Bondelswarts rebellion of
1908[8]",German Empire,Bondelswarts,,https://en.wikipedia.org/wiki/Bondelswarts_rebellion_of_1908?action=edit&redlink=1,https://en.wikipedia.org/wiki/Bondelswarts_rebellion_of_1908?action=edit&redlink=1
,,,"German South
West Africa",,,,
1908,1908,Wad Habuba Revolt,British Empire,Neo-Mahdist rebels,,https://en.wikipedia.org/wiki/Wad_Habuba_Revolt,
1908,1909,"Lobi and Dyula revolt in
Mali[5]",France,Lobi and Dyula rebels,,https://en.wikipedia.org/wiki/Lobi_and_Dyula_revolt_in_Mali?action=edit&redlink=1,https://en.wikipedia.org/wiki/Lobi_and_Dyula_revolt_in_Mali?action=edit&redlink=1
1908,1914,"Mossi rebellions in
Kouddigou and Fada
N'gourma[5]",France,Mossi rebels,,https://en.wikipedia.org/wiki/Mossi_rebellions_in_Kouddigou_and_Fada_N'gourma?action=edit&redlink=1,https://en.wikipedia.org/wiki/Mossi_rebellions_in_Kouddigou_and_Fada_N'gourma?action=edit&redlink=1
1908,1908,Annam uprising[38],"France
French Indochina",Peasant rebels,,https://en.wikipedia.org/wiki/Annam_uprising?action=edit&redlink=1,
1908,1908,"Mohmand Expedition of
1908[39]
",British Raj,Mohmand rebels,"instability
on the North-West
Frontier",https://en.wikipedia.org/wiki/Mohmand_Expedition_of_1908,https://en.wikipedia.org/wiki/Mohmand_Expedition_of_1908
1908,1908,Bazar Valley campaign,British Raj,"Zakka Khel clan of the
Afridi",,https://en.wikipedia.org/wiki/Bazar_Valley_campaign,
1908,1908,"Kurdish uprising of
1908[35]
",Ottoman Empire,Kurdish rebels,"Dersim
uprisings",https://en.wikipedia.org/wiki/Kurdish_uprising_of_1908?action=edit&redlink=1,https://en.wikipedia.org/wiki/Kurdish_uprising_of_1908?action=edit&redlink=1
1908,1908,Buraida rebellion[40],"Emirate of Nejd and
Hasa","Forces loyal to
Muhammad Aba al-Kehil",,https://en.wikipedia.org/wiki/Buraida_rebellion?action=edit&redlink=1,
1908,1908,Battle of Marrakech,Forces of Mulay Hafid,"Forces of the Sultan of
Morocco",,https://en.wikipedia.org/wiki/Battle_of_Marrakech,
1908,1909,Mau uprising,German Empire,Indigenous rebels,,https://en.wikipedia.org/wiki/Mau_uprising?action=edit&redlink=1,
