Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1924,1924,Second Honduran Civil War,Rebels,Honduras,,https://en.wikipedia.org/wiki/Second_Honduran_Civil_War,
1924,1925,Khost rebellion (1924–1925),"Emirate of Afghanistan
Allied tribes:
Khogyani
Shinwari","Rebel tribes
Mangal
Alikhel
Sulaimankhel
Jaji[80]
Jadran[81]
Ahmadzai[82]",,https://en.wikipedia.org/wiki/Khost_rebellion_(1924%E2%80%931925),
1924,1928,"1924–1928 Saqqawist
insurgency in Afghanistan
Escalated into the Afghan
Civil War",Saqqawists,Emirate of Afghanistan,,https://en.wikipedia.org/wiki/Saqqawists#History,https://en.wikipedia.org/wiki/Saqqawists#History
1924,1924,Vaalgras revolt[8],Union of South Africa,Vaalgras,,https://en.wikipedia.org/wiki/Vaalgras_revolt?action=edit&redlink=1,
,,,,,,,
1924,1924,August Uprising,Soviet Union,"Committee for Independence
of Georgia",,https://en.wikipedia.org/wiki/August_Uprising,
1924,1925,Tungus uprising,Soviet Union,"Tungus Republic
White Movement",,https://en.wikipedia.org/wiki/Tungus_uprising?action=edit&redlink=1,
1924,1924,June Revolution,Faction of Fan Noli,Principality of Albania,,https://en.wikipedia.org/wiki/June_Revolution,
1924,1924,"1924 Estonian coup d'état
attempt",Estonia,Comintern,,https://en.wikipedia.org/wiki/1924_Estonian_coup_d'%C3%A9tat_attempt,https://en.wikipedia.org/wiki/1924_Estonian_coup_d'%C3%A9tat_attempt
1924,1924,Tatarbunary Uprising,Romania,Soviet Union,,https://en.wikipedia.org/wiki/Tatarbunary_Uprising,
1924,1925,Saudi conquest of Hejaz,"Sultanate of Nejd
British Empire",Kingdom of Hejaz,,https://en.wikipedia.org/wiki/Saudi_conquest_of_Hejaz,
1924,1924,Nestorian rebellion,Turkey,Nestorians,,https://en.wikipedia.org/wiki/Nestorian_rebellion,
1924,1924,"Second Zhili–Fengtian War
",Fengtian clique,Zhili clique,Warlord Era,https://en.wikipedia.org/wiki/Second_Zhili%E2%80%93Fengtian_War,https://en.wikipedia.org/wiki/Warlord_Era
1924,1926,Third Yemeni–Asiri War[52],"Mutawakkilite Kingdom of
Yemen",Idrisid Emirate of Asir,,https://en.wikipedia.org/wiki/Idrisid%E2%80%93Mutawakillite_war,
1924,1924,First Asiri Civil War[52],"Idrisid Emirate of Asir
(Sayyid Ali ibn
Muhammad al-Idrisi
loyalists)",Rebels led by Mustafa,,https://en.wikipedia.org/wiki/First_Asiri_Civil_War?action=edit&redlink=1,
1925,1925,"1925 Rehoboth Basters
rebellion[8]",Union of South Africa,Rehoboth Basters,,https://en.wikipedia.org/wiki/1925_Rehoboth_Basters_rebellion?action=edit&redlink=1,https://en.wikipedia.org/wiki/1925_Rehoboth_Basters_rebellion?action=edit&redlink=1
1925,1925,Incident at Petrich,Kingdom of Bulgaria,Kingdom of Greece,,https://en.wikipedia.org/wiki/Incident_at_Petrich,
1925,1925,Guna Revolution,Panama,Guna rebels,,https://en.wikipedia.org/wiki/San_Blas_Rebellion,
1925,1925,Sheikh Said rebellion,Turkey,Kurdish tribesmen,,https://en.wikipedia.org/wiki/Sheikh_Said_rebellion,
1925,1925,Pink's War,United Kingdom,Mahsud tribesmen,,https://en.wikipedia.org/wiki/Pink's_War,
1925,1925,"Raçkotan and Raman pacifying
operations[83]",Turkey,Kurdish rebels,,https://en.wikipedia.org/wiki/Ra%C3%A7kotan_and_Raman_pacifying_operations?action=edit&redlink=1,https://en.wikipedia.org/wiki/Ra%C3%A7kotan_and_Raman_pacifying_operations?action=edit&redlink=1
1925,1937,Sason rebellion[83],Turkey,Kurdish rebels,,https://en.wikipedia.org/wiki/Sason_rebellion?action=edit&redlink=1,
1925,1929,Zaraniq rebellion (1925–1929),"Mutawakkilite Kingdom of
Yemen","Zaraniq tribe
Supported by:
Kingdom of Hejaz and
Nejd
United Kingdom",,https://en.wikipedia.org/wiki/Zaraniq_rebellion_(1925%E2%80%931929),
1925,1927,Great Syrian Revolt,France,Syrian rebels,,https://en.wikipedia.org/wiki/Great_Syrian_Revolt,
1925,1926,"Anti-Fengtian War
","Fengtian clique
Zhili clique (from February
1918)","Guominjun
Zhili clique (until February
1918)",Warlord Era,https://en.wikipedia.org/wiki/Anti-Fengtian_War,https://en.wikipedia.org/wiki/Warlord_Era
1925,1926,Urtatagai conflict,Soviet Union,Emirate of Afghanistan,,https://en.wikipedia.org/wiki/Urtatagai_conflict_(1925%E2%80%931926),
1925,1926,Second Asiri Civil war[52],"Rebels led by Sayyid al-Hasan
ibn Ali al-Idrisial-Hasani
Supported by:
Sultanate of Nejd","Idrisid Emirate of Asir
(Sayyid Ali ibn Muhammad
al-Idrisi loyalists)",,https://en.wikipedia.org/wiki/Second_Asiri_Civil_war?action=edit&redlink=1,
1926,1926,Asiri tribal revolts of 1926[52],Idrisid Emirate of Asir,Rebel tribes,,https://en.wikipedia.org/wiki/Asiri_tribal_revolts_of_1926?action=edit&redlink=1,
1926,1927,Tarimese Civil War[84],"Government of the Sultanate
of Tarim
""The League""
Kathiri",Tamimi rebels,,https://en.wikipedia.org/wiki/Tarimese_Civil_War?action=edit&redlink=1,
1926,1926,1926 Simko Shikak revolt,Pahlavi Iran,"Shikak tribesmen
Herki tribesmen
Begzadeh tribesmen",,https://en.wikipedia.org/wiki/1926_Simko_Shikak_revolt,
1926,1927,"Nicaraguan civil war (1926-
1927)","Nicaraguan Conservatives
(government)",Nicaraguan Liberals (rebels),,https://en.wikipedia.org/wiki/Nicaraguan_civil_war_(1926-1927),https://en.wikipedia.org/wiki/Nicaraguan_civil_war_(1926-1927)
1926,1928,"Northern Expedition
",Republic of China,Beiyang Government,Warlord Era,https://en.wikipedia.org/wiki/Northern_Expedition,https://en.wikipedia.org/wiki/Warlord_Era
1926,1929,Cristero War,Mexico,Cristeros,,https://en.wikipedia.org/wiki/Cristero_War,
1926,1926,"1926 Communist Revolt in
Indonesia",Dutch Empire,Communist Party of Indonesia,,https://en.wikipedia.org/wiki/Communist_Party_of_Indonesia#1926_revolt,https://en.wikipedia.org/wiki/Communist_Party_of_Indonesia#1926_revolt
1927,1927,1927 Nuer uprising[2],,,,https://en.wikipedia.org/wiki/1927_Nuer_uprising?action=edit&redlink=1,
1927,1927,February 1927 Revolt,Portugal,February 1927 movement,,https://en.wikipedia.org/wiki/February_1927_Revolt,
1927,1930,Ararat rebellion,Turkey,Republic of Ararat,,https://en.wikipedia.org/wiki/Ararat_rebellion,
1927,1930,Ikhwan Revolt,"Ibn Saud
United Kingdom
Kuwait",Ikhwan,,https://en.wikipedia.org/wiki/Ikhwan_Revolt,
1927,1928,Confederalist Rebellion,Soviet Union,"Mlado-Yakut Party of
Confederalists",,https://en.wikipedia.org/wiki/Confederalist_Rebellion?action=edit&redlink=1,
1927,1927,1927 Kurdish rebellions[83],Turkey,Kurdish rebels,,https://en.wikipedia.org/wiki/1927_Kurdish_rebellions?action=edit&redlink=1,
1927,1927,"Ikhwan raid on Busayya
",Ikhwan,Iraqi Police force,Ikhwan revolt,https://en.wikipedia.org/wiki/Ikhwan_raid_on_Busayya,https://en.wikipedia.org/wiki/Ikhwan_revolt
1927,1950,Chinese Civil War,"Chinese Communist Party
After 1949:
People's Republic of
China","Nationalist Party of China
Republic of China
After 1949:
Republic of China on Taiwan",,https://en.wikipedia.org/wiki/Chinese_Civil_War,
