Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1948,1958,"La Violencia
","Colombian
Conservative Party
Conservative party
paramilitary groups
Pájaros
Chulavitas","Colombian Liberal Party
and allied militias
Liberal party paramilitary
groups
Colombian Communist Party
Grupos de Autodefensas
Campesinas","Colombian Civil
Wars and the Cold War",https://en.wikipedia.org/wiki/La_Violencia,https://en.wikipedia.org/wiki/Colombian_Civil_Wars
,,,,,,,
1948,1949,"1948 Arab–Israeli War
","Israel
Before 26 May 1948:
Yishuv
Paramilitary groups:
Haganah
Palmach
Hish
Him
Irgun
Lehi
Allied Bedouin
tribes[17][18]
After 26 May 1948:
Israel Defense Forces
Minorities Unit
Foreign volunteers:
Mahal","Arab League:
Egypt[19]
All-Palestine
Protectorate[h]
Holy War Army[h]
Transjordan[19]
Iraq[19]
Syria[19]
Lebanon[i]
Saudi Arabia[21]
Yemen[22]
Irregulars:
Arab Liberation Army
Al-Najjada
Holy War Army","1948 Palestine
war and the Arab–Israeli
conflict",https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War,https://en.wikipedia.org/wiki/1948_Palestine_war
1948,1960,"Malayan Emergency
","British
Commonwealth
forces:
United Kingdom
Federation of
Malaya
Singapore
Malacca
(until 1957)
Penang
(until 1957)
Kenya
Southern
Rhodesia
(until 1953)
Rhodesia and
Nyasaland
(from 1953)
Fiji
Australia
New Zealand
Supported by:
Thailand
(Thai–Malaysian
border)","Communist forces:
Malayan Communist Party
Malayan National Liberation
Army","decolonization
of Asia and Cold War in
Asia",https://en.wikipedia.org/wiki/Malayan_Emergency,https://en.wikipedia.org/wiki/Decolonization_of_Asia
1948,1948,"Annexation of Hyderabad
Part of Telangana
Rebellion and the Political
integration of India",Dominion of India,Hyderabad,,https://en.wikipedia.org/wiki/Annexation_of_Hyderabad,https://en.wikipedia.org/wiki/Telangana_Rebellion
1948,1948,"Madiun Affair
","Indonesia
TNI
POLRI","People's Democratic Front
PKI
PS
PBI
SOBSI
Pesindo","Indonesian
National Revolution",https://en.wikipedia.org/wiki/Madiun_Affair,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
1948,1948,"Yeosu–Suncheon rebellion
",South Korea,"Workers' Party of South
Korea
Local supporters
14th regiment","division of
Korea",https://en.wikipedia.org/wiki/Yeosu%E2%80%93Suncheon_rebellion,https://en.wikipedia.org/wiki/Division_of_Korea
1948,1950,"Pre-Korean War
insurgency[23]",South Korea,"Anti-government insurgents
Pro-North Korean rebels",,https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Korean_War#Communist_insurgency_in_South_Korea_(1948%E2%80%931950)
1949,1949,1949 Hazara Rebellion,"Kingdom of
Afghanistan",Hazara rebels,,https://en.wikipedia.org/wiki/1949_Hazara_Rebellion,
1949,1956,"Palestinian Fedayeen
insurgency
",Israel,"Palestinian Fedayeen
Supported by:
All-Palestine Protectorate","Israeli–
Palestinian conflict and
Arab–Israeli conflict",https://en.wikipedia.org/wiki/Palestinian_Fedayeen_insurgency,https://en.wikipedia.org/wiki/Palestinian_Fedayeen_insurgency
,,,,"Kingdom of Egypt (until 1953)
Republic of Egypt (from
1953)
Syria
Jordan",,,
1949,1949,Palace Rebellion,"Phibun regime
Royal Thai Army","Democracy February 26
Movement
Royal Thai Navy
Royal Thai Marine Corps",,https://en.wikipedia.org/wiki/Palace_Rebellion,
1949,1953,"Campaign to Suppress
Bandits in Central and
Southern China
",China,"National Revolutionary
Army","Chinese
Civil War",https://en.wikipedia.org/wiki/Campaign_to_Suppress_Bandits_in_Central_and_Southern_China,https://en.wikipedia.org/wiki/Campaign_to_Suppress_Bandits_in_Central_and_Southern_China
1949,1962,"Darul Islam rebellion
","Republic of
Indonesia","Islamic State of Indonesia
426 Battalion (1951–1952)
Legion of the Just Ruler
(until 1950)","aftermath of the
Indonesian National
Revolution and Cold War
in Asia",https://en.wikipedia.org/wiki/Darul_Islam_rebellion,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
1949,Ongoing,"Afghanistan–Pakistan
border skirmishes
",Pakistan,"Afghanistan
Tehrik-i-Taliban Pakistan
(since 2012)[24][25]
Jamaat-ul-Ahrar (2015–
2020)[26]","Taliban
insurgency and Insurgency
in Khyber Pakhtunkhwa",https://en.wikipedia.org/wiki/Afghanistan%E2%80%93Pakistan_border_skirmishes,https://en.wikipedia.org/wiki/Afghanistan%E2%80%93Pakistan_border_skirmishes
Started,Ended,Name of conflict,Belligerents,,,,
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,
1950,1958,"Kuomintang Islamic
insurgency
","People's Republic of
China
Chinese Communist
Party","Republic of China
Kuomintang","Cross-Strait
conflict, the Chinese Civil
War, and the Cold War",https://en.wikipedia.org/wiki/Kuomintang_Islamic_insurgency,https://en.wikipedia.org/wiki/Kuomintang_Islamic_insurgency
1950,1950,"APRA coup d'état
","Indonesia
TNI","Legion of the Just
Ruler (APRA)","aftermath of the
Indonesian National
Revolution",https://en.wikipedia.org/wiki/APRA_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
1950,1950,"Makassar Uprising
",Republic of Indonesia,East Indonesia,"aftermath of the
Indonesian National
Revolution",https://en.wikipedia.org/wiki/Makassar_Uprising,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
1950,1966,"Indonesian invasion of South
Maluku
","Indonesia
TNI","Republic of South
Maluku","aftermath of the
Indonesian National
Revolution",https://en.wikipedia.org/wiki/Indonesian_invasion_of_South_Maluku,https://en.wikipedia.org/wiki/Indonesian_invasion_of_South_Maluku
1950,1950,La Revolución del 50,Peru,Rebels,,,
25 June 1950,27 July 1953,"Korean War
","South Korea
United Nations[j]
United States
... see other countries","North Korea
China
Soviet Union
(air support only)","Cold War and the
Korean conflict",https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Cold_War
1950,1950,"Battle of Chamdo
",China,Tibet,"Annexation of
Tibet by the People's
Republic of China and the
Cold War",https://en.wikipedia.org/wiki/Battle_of_Chamdo,https://en.wikipedia.org/wiki/Annexation_of_Tibet_by_the_People's_Republic_of_China
