Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1965,1966,"American occupation of
the Dominican Republic
(1965–66)","United States (pro-
government state
intervener)",Constitutionalists,,https://en.wikipedia.org/wiki/American_occupation_of_the_Dominican_Republic_(1965%E2%80%9366),https://en.wikipedia.org/wiki/American_occupation_of_the_Dominican_Republic_(1965%E2%80%9366)
,,,"Organization of
American States (OAS)",,,,
1965,1965,"Indo-Pakistani War of
1965
",India,Pakistan,"Indo-
Pakistani wars and
conflicts and Cold War",https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1965,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1965
1965,1965,"30 September Movement
","Government of Indonesia
Indonesian Army
(Loyalist factions)
Indonesian Army (Suharto
factions)[253][254]
Supported by:
United Kingdom[255][256]
United
States[257][258][259]","30 September Movement
Tjakrabirawa
Angkatan kelima in
Lubang Buaya
Communist Party of
Indonesia
Indonesian Air Force
(Denied, but suspected by
the army)
Supported by:
China[260]","Cold War in
Asia, Konfrontasi and the
transition to the New Order",https://en.wikipedia.org/wiki/30_September_Movement,https://en.wikipedia.org/wiki/Cold_War_in_Asia
1965,1983,"Communist insurgency in
Thailand
","Thailand
Royal Thai Armed Forces
Royal Thai Police
Border Patrol Police
Volunteer Defense Corps
Thahan Phran
Internal Security Operations
Command
Village Scouts
Nawaphon
Red Gaurs
Kingdom of Laos (until
1975)
ROC 93rd Division[261]
Malaysia[262][263]
Supported by:
United States
Shan United
Revolutionary Army[264]
Karen National
Union[265]","Communist Party of
Thailand
People's Liberation Army of
Thailand
Federation of Farmers and
Workers
National Student Center of
Thailand
Ethnic groups, especially the
Hmong
Pathet Lao
Malayan Communist
Party[266]
Communist Party of
Burma[267]
Supported by:
Khmer Rouge (until
1978)
People's Republic of
Kampuchea (since 1979)
People's Republic of
China (until 1980)
North Vietnam","Cold War and
Indochina Wars",https://en.wikipedia.org/wiki/Communist_insurgency_in_Thailand,https://en.wikipedia.org/wiki/Communist_insurgency_in_Thailand
1965,1979,"Chadian Civil War (1965–
1979)
","FROLINAT (from 1966)
First Liberation Army (until
1975)
Second Liberation Army
(1968–76)
Third Liberation Army (from
1968)
Various splinter factions
FLT (until 1975)
Volcan Army (from
1970)
FAP (from 1976)
FAN (1976–78,
1979)[268]
Tribal and peasant rebels
Libya (1969–72,
from 1975)
Supported by:
Algeria[269]
Kingdom of Libya (non-
combat, until 1969)[270]","Chad
Chadian Armed Forces
FROLINAT's First Liberation
Army (c. 1975)[271]
FAN (1978–79)[268]
France
Supported by:
Egypt
Israel",Cold War,https://en.wikipedia.org/wiki/Chadian_Civil_War_(1965%E2%80%931979),https://en.wikipedia.org/wiki/Chadian_Civil_War_(1965%E2%80%931979)
,,,,,,,
1966,1967,Guerrilha do Caparaó,Brazil,Rebels,,https://en.wikipedia.org/wiki/Guerrilha_do_Capara%C3%B3?action=edit&redlink=1,
1966,1977,"Crisis in French
Somaliland[272]",FLCS,"France
French Somaliland",,https://en.wikipedia.org/wiki/Crisis_in_French_Somaliland?action=edit&redlink=1,https://en.wikipedia.org/wiki/Crisis_in_French_Somaliland?action=edit&redlink=1
1966,1967,Stanleyville mutinies,Congo-Léopoldville,"Armée Nationale
Congolaise (ANC)
mutineers",,https://en.wikipedia.org/wiki/Stanleyville_mutinies,
1966,1990,"South African Border War
","SWAPO (PLAN)
MPLA (FAPLA)[273]
Cuba
SWANU[274]
ANC (MK)
Zambia[275]
Military advisers and pilots:
Soviet Union[276]
East Germany[277]","South Africa
TGNU (1985–1989)[278]
Portugal (until 1974)[279]
UNITA (from 1975)[280]
FNLA (1975)[273]","Cold War and
the decolonisation of Africa",https://en.wikipedia.org/wiki/South_African_Border_War,https://en.wikipedia.org/wiki/Cold_War
1966,1969,"Korean DMZ Conflict
","South Korea
United States",North Korea,"Korean conflict
and the Cold War",https://en.wikipedia.org/wiki/Korean_DMZ_Conflict,https://en.wikipedia.org/wiki/Korean_conflict
1966,1967,"Ñancahuazú Guerrilla War
","Bolivia
United States","ELN
Cuba",Cold War,https://en.wikipedia.org/wiki/%C3%91ancahuaz%C3%BA_Guerrilla,https://en.wikipedia.org/wiki/Cold_War
1967,1968,"1967 Kurdish revolt in Iran
","Imperial State of Iran
SAVAK","Revolutionary Committee
leadership:
Kurdish tribesmen
KDP-I","Iranian-Kurdish
conflict",https://en.wikipedia.org/wiki/1967_Kurdish_revolt_in_Iran,https://en.wikipedia.org/wiki/Iranian-Kurdish_conflict
1966,1975,"Araguaia Guerrilla War
","Brazilian military government
• Brazilian Army
• Brazilian Air Force
• Brazilian Navy","Communist Party of
Brazil
Supported by:
People's Socialist
Republic of Albania[203]","armed struggle
against the Brazilian
military dictatorship",https://en.wikipedia.org/wiki/Araguaia_Guerrilla_War,https://en.wikipedia.org/wiki/Armed_struggle_against_the_Brazilian_military_dictatorship
1967,1975,"Cambodian Civil War
","Khmer Rouge
GRUNK (1970–1975)
FUNK
Khmer Rumdo
North Vietnam
Viet Cong
Pathet Lao","Cambodia (1967–1970)
Khmer Republic (1970–
1975)
Khmer Serei (until 1972)
United States
South Vietnam
Laos
FULRO","Vietnam
War, the Indochina
Wars, the Sino-Soviet
Split, and the Cold
War in Asia",https://en.wikipedia.org/wiki/Cambodian_Civil_War,https://en.wikipedia.org/wiki/Vietnam_War
1967,1967,Machurucuto raid,"Venezuelan National
Guard
Venezuelan Army","Revolutionary Left
Movement
Cuban guerrillas
Supported by:
Cuba",,https://en.wikipedia.org/wiki/Machurucuto_raid,
1967,Ongoing,"Naxalite–Maoist
insurgency","India[281]
Indian Armed Forces
Central Reserve Police
Force
Border Security Force
State Armed Police Forces
District Reserve Guard
Militias: (until 2011)[282]
Tritiya Prastuti Committee
Salwa Judum
Sunlight Sena
Kuer Sena[283]
Ranvir Sena[284][285]","Naxalites
CPI (Maoist)
PLGA
JJP[286]
PLFI
RCC
(2006–2019)[287]
OMP (2002–2015)[288]
CPI(ML) Liberation
(1974–1992)
Lal Sena
CPI(ML) Janashakti (1992–
2013)
CPUSI (1997–2005)[289]
CPI(ML) ND",,https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency,https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency
,,,"Bhumi Sena
Lorik Sena","CPI(ML) MM (until
2012)
ABNES (until 2002)
TNLA[290]
(until 2005)[291]
Supported by:
ULFA[292]
NSCN[292]
PLA-MP
MCPM
KCP
Declared support:
International Communist
League[293]
CPN (Maoist)
CPN (2014)[294]
NPA[295]
PBSP[296] (until 2021)
PBCP[297] (until 2021)
CIC (until 1977)
CCP (Maoist) (until
1976)[298]",,,
1967,1967,"Six-Day War
",Israel,"Egypt
Syria
Jordan
Iraq[299]
Minor involvement:
Lebanon[300]","Arab–
Israeli conflict and the
Cold War",https://en.wikipedia.org/wiki/Six-Day_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
1967,1970,"War of Attrition Part of
the Arab–Israeli
conflict and the Cold
War",Israel,"Egypt
Soviet Union
Kuwait[301]
PLO
Jordan
Syria[302]
Cuba",,https://en.wikipedia.org/wiki/War_of_Attrition,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
1967,1970,"Nigerian Civil War
","Nigeria
Egypt[s]
Supported by:
United Kingdom[303]
Soviet Union[304]
Ethiopia[305]","Biafra
Republic of Benin (1967)
Supported by:
China[306][307]
Tanzania[308][309][310]
Zambia
Gabon
Côte d'Ivoire
Covert support:
France[311][312]
Portugal[311][312]
Israel[311][312]
South Africa[311][312]
Rhodesia[311][312]","Cold War and
the decolonisation of Africa",https://en.wikipedia.org/wiki/Nigerian_Civil_War,https://en.wikipedia.org/wiki/Cold_War
1967,1967,"Nathu La and Cho La
clashes",India,China,,https://en.wikipedia.org/wiki/Nathu_La_and_Cho_La_clashes,https://en.wikipedia.org/wiki/Nathu_La_and_Cho_La_clashes
1967,1974,"PGRS/Paraku
Rebellion[313]",Indonesia,PGRS/Paraku,,https://en.wikipedia.org/wiki/PGRS/Paraku_Rebellion?action=edit&redlink=1,https://en.wikipedia.org/wiki/PGRS/Paraku_Rebellion?action=edit&redlink=1
1968,2019,"Moro conflict
","Philippines
Supported by:
United States (advisors)[314]
Australia[315][316]
Indonesia[317][318]
Malaysia (since
2001)[317][319][320][321]
Russia[322]","Bangsamoro
MNLF (until 1996)[324]
MILF (until 2014)
Former support:
Libya (until
2011)[325][326][327][328][329][330]
Malaysia (until
2001)[331][332][333]
NDFP","Cold War, Civil
conflict in the Philippines,
war on terror, North
Borneo dispute and War
against the Islamic State",https://en.wikipedia.org/wiki/Moro_conflict,https://en.wikipedia.org/wiki/Cold_War
,,,"China[323]
International Monitoring
Team (IMT)
Brunei
Indonesia
Japan
Libya
Malaysia
Norway
European Union
Ilaga","MRLO
Jihadist groups
BIFF
ASG (1991–2024)
Maute group (2013–
2017)[334][335][336]
AKP (2014 – c. 2021)
KIM (2011–2013)[337]
Rajah Sulaiman Movement
(until 2005)[338][339]",,,
1968,1989,"Communist insurgency in
Malaysia (1968–1989)
","Anti-communist forces:
Malaysia[340]
Singapore[341]
Thailand[342][263]
Supported by:
United Kingdom[343]
New Zealand[343]
Indonesia (from 1965)","Communist forces:
Malayan Communist
Party[344]
Malayan National
Liberation Army[344]
Communist Party of
Malaya/Revolutionary Faction
(1970–1983)
Communist Party of
Malaya/Marxist–Leninist (1974–
1983)
Malaysian Communist Party
(1983–1987)
North Kalimantan
Communist Party
Communist Party of
Thailand (until 1983)[345]
Supported by:
China (until 1976)[346][347]
Soviet Union[346]
Indonesia (1962–1965)","Cold War in
Asia and continuation of
the Malayan Emergency",https://en.wikipedia.org/wiki/Communist_insurgency_in_Malaysia_(1968%E2%80%931989),https://en.wikipedia.org/wiki/Communist_insurgency_in_Malaysia_(1968%E2%80%931989)
1968,1968,"Warsaw Pact invasion of
Czechoslovakia
","Warsaw Pact:
Soviet Union
Poland
Bulgaria
Hungary
Logistics support:
East Germany[t]","Czechoslovakia
Supported by:
Albania
Romania
China[348]
Yugoslavia[349]","Cold War and
the Prague Spring",https://en.wikipedia.org/wiki/Warsaw_Pact_invasion_of_Czechoslovakia,https://en.wikipedia.org/wiki/Warsaw_Pact_invasion_of_Czechoslovakia
1960s,1998[u],The Troubles,"Irish republican paramilitaries:
Provisional IRA (PIRA)
Irish National Liberation
Army (INLA)
Official IRA (OIRA)
Continuity IRA (CIRA)
Real IRA (RIRA)
Irish People's Liberation
Organisation (IPLO)
Ulster loyalist paramilitaries:
Ulster Defence Association
(UDA)
Ulster Volunteer Force (UVF)
Red Hand Commando
(RHC)
Ulster Resistance (UR)
Loyalist Volunteer Force
(LVF)
Ulster Protestant Volunteers
(UPV)","State security forces:
British Armed Forces
Royal Ulster Constabulary
Irish Defence Forces
Gardaí",,https://en.wikipedia.org/wiki/The_Troubles,
1968,1988,"Years of Lead (Italy)
","Italian government
SISMI
SISDE","Far-left terrorists:
Red Brigades[N 1]
Front Line[N 2]
October 22 Group[N 3]",Cold War,https://en.wikipedia.org/wiki/Years_of_Lead_(Italy),https://en.wikipedia.org/wiki/Cold_War
,,,"Armed Forces
Carabinieri
State Police
Supported by:
Gladio
CIA[351]","PAC[N 4]
Continuous Struggle[N 5]
Workers' Power[N 6]
Workers' Autonomy[N 7]
Supported by:
RAF[352]
Sigurimi (alleged)
PLO (alleged)
KGB (alleged)[353]
Stasi (alleged)
Mukhabarat el-Jamahiriya
(alleged)[354]
UDBA (alleged)
Far-right terrorists:
New Order[N 8]
National Vanguard[N 9]
Black Order[355]
NAR[N 10]
Third Position[N 11]
Supported by:
Propaganda Due[356][357]
SISMI (factions)[358]
CIA[359][360][361]
Greek Junta
Magliana Gang[362]
Sicilian Mafia (alleged)",,,
1968,1971,"1968–1971 East Pakistan
communist insurgency",Pakistan,PBSA,,,
1969,1969,Rupununi Uprising,"Guyana
Guyana Defence Force","Rupununi rebels
Support:
Venezuela (alleged)",,https://en.wikipedia.org/wiki/Rupununi_Uprising,
1969,1969,"Sino-Soviet border conflict
",China,Soviet Union,"Cold War and
the Sino-Soviet split",https://en.wikipedia.org/wiki/Sino-Soviet_border_conflict,https://en.wikipedia.org/wiki/Cold_War
1969,Ongoing,"Communist rebellion in the
Philippines
","Philippines
United States[363]
Anti-communist militia
Alsa Masa (1986–?)","CPP
* NPA
MLPP-RHB[364]
APP[364]
RPA[364]
ABB[364]
CPLA[364]
Support:
People's Republic of
China (1969–1976)
Libya (1980s–2011)
North Korea (Alleged)
Vietnam (1980s)","Civil conflict in
the Philippines",https://en.wikipedia.org/wiki/Communist_rebellion_in_the_Philippines,https://en.wikipedia.org/wiki/Communist_rebellion_in_the_Philippines
1969,1969,Football War,El Salvador,Honduras,,https://en.wikipedia.org/wiki/Football_War,
1969,1969,"Al-Wadiah War
","Saudi Arabia
Supported by:
Pakistan (air support)",South Yemen,Arab Cold War,https://en.wikipedia.org/wiki/Al-Wadiah_War,https://en.wikipedia.org/wiki/Arab_Cold_War
Started,Ended,Name of conflict,Belligerents,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,
1970,1971,"Reggio revolt
","Government of Italy
Christian Democracy (National)
Italian Communist Party
Italian Socialist Party
CGIL","Christian Democracy (Calabrian)
Italian Social Movement
National Vanguard
Italian Democratic Socialist Party
Italian Anarchist Federation
CISNAL",Years of Lead,https://en.wikipedia.org/wiki/Reggio_revolt,https://en.wikipedia.org/wiki/Years_of_Lead_(Italy)
1970,1971,"Black September
","Jordan
Jordanian Armed Forces","PLO
Fatah
Popular Front for the Liberation of
Palestine (PFLP)
Democratic Front for the Liberation
of Palestine (DFLP)
Syria (until November 1970)
Syrian Armed Forces
Palestine Liberation Army (PLA)
Supported by:
Organization of Iranian People's
Fedai Guerrillas (OIPFG)
People's Mojahedin Organization of
Iran (MEK)",Arab Cold War,https://en.wikipedia.org/wiki/Black_September,https://en.wikipedia.org/wiki/Arab_Cold_War
1970,1970,"Corrective Movement (Syria)
",Syrian Arab Armed Forces,"Syrian Government
Ba'ath Party",Arab Cold War,https://en.wikipedia.org/wiki/Corrective_Movement_(Syria),https://en.wikipedia.org/wiki/Arab_Cold_War
1970,1970,"Teoponte Guerrilla
",Bolivia,ELN (Teoponte),Cold War,https://en.wikipedia.org/wiki/Teoponte_Guerrilla,https://en.wikipedia.org/wiki/Cold_War
1971,1971,"1971 Ugandan coup d'état
","Ugandan putschists
Rebel military faction
Rebel police faction
Supported by:
Israel[365]","Ugandan government
Loyal state institutions",Cold War,https://en.wikipedia.org/wiki/1971_Ugandan_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Cold_War
1971,1971,"Bangladesh Liberation War
","Bangladesh
India (3–16 Dec.)",Pakistan,"independence of
Bangladesh, the Indo-Pakistani
conflicts, and the Cold War",https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,https://en.wikipedia.org/wiki/Independence_of_Bangladesh
1971,1971,"1971 JVP insurrection
","Ceylon
Sri Lankan Coalition (from 15 May)
SLFP
CCP (Pro-Soviet)
LSSP
Military intervention:
India
Pakistan
Soviet Union","JVP
Supported by:
North Korea[366][367][368]
Albania (arms support)[369]
China (alleged)
ASBPI[370][371]
CCP (Maoist) (alleged)
Diplomatic support:
South Yemen[372]",Cold War,https://en.wikipedia.org/wiki/1971_JVP_insurrection,https://en.wikipedia.org/wiki/Cold_War
1971,1971,"Seizure of Abu Musa and the Greater
and Lesser Tunbs
",Imperial State of Iran,"Emirate of Sharjah
Emirate of Ras al-Khaimah","Unification of the United
Arab Emirates",https://en.wikipedia.org/wiki/Seizure_of_Abu_Musa_and_the_Greater_and_Lesser_Tunbs,https://en.wikipedia.org/wiki/Seizure_of_Abu_Musa_and_the_Greater_and_Lesser_Tunbs
1972,1981,"Eritrean Civil Wars
","EPLF
TPLF",ELF,"Eritrean War of
Independence, the Ethiopian Civil
War and conflicts in the Horn of Africa",https://en.wikipedia.org/wiki/Eritrean_Civil_Wars,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence
1972,1975,"1972–1975 Bangladesh insurgency
",Government of Bangladesh,Socialist insurgents:,Cold War in Asia,https://en.wikipedia.org/wiki/1972%E2%80%931975_Bangladesh_insurgency,https://en.wikipedia.org/wiki/Cold_War_in_Asia
,,,"Awami League/BAKSAL (1972–75)
Chhatra League
Sramik League
Military-Supreme Court
Administration (1975)
Mujibist insurgents:[v]
Kader Bahini[373]
Pro-Mujibist military factions
East Bengal Regiment (factions)
46th Independent Infantry Brigade","Jatiya Samajtantrik Dal
Jasad Chhatra League
Maoist insurgents:
Purba Banglar Sarbahara Party
Anti-Mujibist military factions
2nd Field Artillery
Bengal Lancers
1st Bengal Cavalry
10th Bengal Regiment (factions)
Other anti-Mujibist factions
Trade unionists[w]
Awami League (factions)
Military junta of Bangladesh
(1975)[x]",,,
1972,Ongoing,Maoist insurgency in Turkey,Government of Turkey,"TKP/ML
TİKKO
MKP
Maoist Party Centre",,https://en.wikipedia.org/wiki/Maoist_insurgency_in_Turkey,
1972,1972,1972 invasion of Uganda[374],"Uganda
Libya
Palestine Liberation Organization
(PLO)","Ugandan rebels
People's Army
UPC supporters
Tanzania",,https://en.wikipedia.org/wiki/1972_invasion_of_Uganda,
1973,1973,"1973 Samita border skirmish
Part of Iraq–Kuwait relations",Iraq,Kuwait,,https://en.wikipedia.org/wiki/1973_Samita_border_skirmish,https://en.wikipedia.org/wiki/Iraq%E2%80%93Kuwait_relations
1973,1977,"1970s operation in Balochistan
","Pakistan
Iran
Supported by:
Oman","Baloch separatists
Pashtun Zalmay[375]","Insurgency in Balochistan
and the Cold War",https://en.wikipedia.org/wiki/1970s_operation_in_Balochistan,https://en.wikipedia.org/wiki/Insurgency_in_Balochistan
1973,1973,"1973 Chilean coup d'état
","Chilean Armed Forces
Chilean Army
Chilean Navy
Chilean Air Force
Carabineros de Chile
Supported by:
Nationals
Christian Democrats (parts)
Radical Democrats
United States[y]
Canada[378][379]
Australia[380]
United Kingdom[381][382]","Chilean Government
Popular Unity
GAP
Revolutionary Left Movement
Other working-class militants[383]
Supported by:
Cuba","Cold War in South
America",https://en.wikipedia.org/wiki/1973_Chilean_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Cold_War
1968,1988,"Armed resistance in Chile (1973–
1990)
","Junta
Chilean Armed Forces
Chilean Army
Chilean Navy
Chilean Air Force
Police forces:
Carabineros de Chile
PDI
DINA (1974–1977)
CNI (1977–1990)
Political support:","Guerrillas
MIR
(1973–1987)
FPMR
(1983–1997)
MAPU Lautaro
(1982–1994)
MIR-EGP-PL
(1987–1994)
GAP (1973)
Cordones industriales (1973)
Political support:","Operation Condor and the
Cold War",https://en.wikipedia.org/wiki/Armed_resistance_in_Chile_(1973%E2%80%931990),https://en.wikipedia.org/wiki/Armed_resistance_in_Chile_(1973%E2%80%931990)
,,,"RN
PN
AN
UDI
Supported by:
Israel[384]
South Africa[385]
Francoist Spain
Rhodesia[386]
Brazil
India
South Korea[387]
China[388][389]
Uruguay
West Germany
United States (until 1976)[z]","PSCh
PCCh
Supported by:
Nicaragua
Cuba
Libya[391]
Soviet Union
North Korea
EPR (Argentina)
Tupamaros (Uruguay)
ELN (Bolivia)",,,
1973,1973,"Yom Kippur War
",Israel,"Egypt
Syria
Expeditionary forces
Saudi Arabia[392]
Algeria[393]
Jordan
Libya
Iraq
Kuwait[394]
Tunisia
Morocco[395]
Cuba
North Korea[396]","Arab–Israeli conflict
and the Cold War",https://en.wikipedia.org/wiki/Yom_Kippur_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
1973,Ongoing,"Oromo conflict
","Ethiopia
Former combatants:
Ethiopian Empire
(until 1975)
Derg
(1975–87)
PDRE
(1987–91)
TGE
(1991–95)","OLF
(until 2018)
OLA
(initially part of OLF, independent
from 2018)
IFLO
(1985–87)
EUPF
(1993–2012)[397]
Supported by:[aa]
Eritrea
(1998–2018)[398]
Egypt (alleged)[399]","Ethiopian Civil War and
Ethiopian civil conflict (2018–present)",https://en.wikipedia.org/wiki/Oromo_conflict,https://en.wikipedia.org/wiki/Ethiopian_Civil_War
1974,1974,"Battle of the Paracel Islands
","China
People's Liberation Army Navy of
China","South Vietnam
Republic of Vietnam Navy",Vietnam War,https://en.wikipedia.org/wiki/Battle_of_the_Paracel_Islands,https://en.wikipedia.org/wiki/Vietnam_War
1974,1974,Arube uprising,Ugandan government,Putschists,,https://en.wikipedia.org/wiki/Arube_uprising,
1974,1975,"Second Iraqi–Kurdish War
","Iraq
Supported by:
Soviet Union[400]","KDP
Iran
Supported by:
Israel[150]
United States[401]","Iraqi–Kurdish conflict and
the Cold War",https://en.wikipedia.org/wiki/Second_Iraqi%E2%80%93Kurdish_War,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
1974,1975,"1974–75 Shatt al-Arab conflict
","Iran
KDP",Iraq,"Arvand River dispute and
the Second Iraqi–Kurdish War",https://en.wikipedia.org/wiki/1974%E2%80%9375_Shatt_al-Arab_conflict,https://en.wikipedia.org/wiki/Arvand_River_dispute?action=edit&redlink=1
1974,1974,"Turkish invasion of Cyprus
","Turkey
Turkish Resistance Organisation","Republic of Cyprus
EOKA B
Greece","Cold War and Cyprus
problem",https://en.wikipedia.org/wiki/Turkish_invasion_of_Cyprus,https://en.wikipedia.org/wiki/Cold_War
,,,,,,,
1974,1991,"Ethiopian Civil War
","EPRDF
TPLF
EPDM
OPDO
EPRP
MEISON (from 1977)
EDU
OLF
WSLF
ALF
Eritrean separatists:
ELF (until 1981)
EPLF
Somali nationalists:
WSLF
ONLF[402]
Supported by:
United States[403]
Somalia (1978–1991)[404]
China (from 1978)[405]
Romania (1978–1989)","Derg (1974–1987)
PDR Ethiopia
Supported by:
Soviet Union (1974–1990)
Cuba (1974–1990)
South Yemen (1974–1990)
Somali anti-Barre groups:
USC
SSDF
SPM
SNM","Eritrean War of
Independence, the Ethiopian–Somali
conflict, the Oromo conflict, the Cold
War, and the Revolutions of 1989",https://en.wikipedia.org/wiki/Ethiopian_Civil_War,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence
1974,1983,"Dirty War
","Argentina
Argentine Army
Argentine Navy
Argentine Air Force
Secretariat of Intelligence
Argentine Federal Police
Argentine National Gendarmerie
Argentine Naval Prefecture
Argentine Anticommunist Alliance
Justicialist Party (Right-wing faction)
Supported by:
Bolivia
Brazil
Chile
Paraguay
Peru
Uruguay
United States[406][407][408]
France
Israel","ERP (1973–1979)
Montoneros (1974–1980)
FAP
Resistencia Libertaria
Supported by:
Cuba","Cold War and Operation
Condor",https://en.wikipedia.org/wiki/Dirty_War,https://en.wikipedia.org/wiki/Cold_War
1975,1975,1975 Panjshir Valley uprising,Republic of Afghanistan,Forces loyal to Ahmad Shah Massoud,,https://en.wikipedia.org/wiki/1975_Panjshir_Valley_uprising,
1975,1975,1975 China-India border skirmish,China,India,,https://en.wikipedia.org/wiki/1975_China-India_border_skirmish?action=edit&redlink=1,
1975,Ongoing,"Cabinda War
","Angola
Cuba (until 1991)
Democratic People's Republic of
Angola (1991)
UNITA (joint operations, 1991)
Military advisers and pilots:
East Germany (until 1989)[409]
Soviet Union (until 1989)","FLEC
FLEC-FAC
Communist Committee of Cabinda
Republic of Cabinda (1975–1976,
1999)
Zaire (1975)","Angolan Civil War (until
2002)",https://en.wikipedia.org/wiki/Cabinda_War,https://en.wikipedia.org/wiki/Angolan_Civil_War
1975,2002,"Angolan Civil War
","People's Republic of
Angola/Republic of Angola
MPLA","Democratic People's
Republic of Angola
UNITA
FNLA (1975–1976)","aftermath of the Angolan
War of Independence, and the Cold
War (until 1991)",https://en.wikipedia.org/wiki/Angolan_Civil_War,https://en.wikipedia.org/wiki/Angolan_War_of_Independence
,,,"Cuba (1975–1989)
SWAPO (1975–1989) [410]
ANC (1975–1989) [411][410]
Executive Outcomes (1993–1995)[412]
FLNC (1975–2001) [413][414]
Namibia (2001–2002)[note 1]
Military advisers and pilots:
Soviet Union
(1975–1989)[416][417]
East Germany
(1975–1989)
North Korea
(1980s)[note 2]","FNLA (1976–1978) [414]
South Africa (1975–1989)[418]
Zaire (1975) [421][414]
FLEC",,,
1975,1979,"PUK insurgency
",Iraq,"PUK
KDP","Iraqi–Kurdish
conflict",https://en.wikipedia.org/wiki/PUK_insurgency,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
1975,1990[Note 1],"Lebanese Civil War
","Lebanese Front
Kataeb Party
Lebanese Forces
Marada Brigades (until 1978)
Guardians of the Cedars
Al-Tanzim
Lebanese Youth Movement (MKG)
Tyous Team of Commandos
Zahliote Group
Shuraya Party
Vanguard of the Maani Army (MDJ)
(Other minor organizations)
Army of Free Lebanon (until 1977)
SLA (from 1976)
Israel (from 1978)
Tigers Militia (until 1980)","Lebanese National Movement (1975–
1982)
Jammoul (1982–1990)
Al-Mourabitoun
Progressive Socialist Party (PSP)
Lebanese Communist Party (LCP)
Syrian Social Nationalist Party in
Lebanon (SSNP)
Communist Action Organization in
Lebanon (OCAL)
Lebanese Movement in Support of
Fatah (LMSF)
Arab Socialist Ba'ath Party – Lebanon
Region
Revolutionary Communist Group
Sixth of February Movement
Socialist Arab Lebanon Vanguard
Party (SALVP)
Popular Nasserist Organization
(PNO)
Lebanese Arab Army (LAA)
Other minor organizations
PLO (1975–1983)
ASALA
Hezbollah (1985–1990)
Iran (from 1980, mainly IRGC
and Army paramilitary units)
Islamic Unification Movement (from
1982)
Syria (1976, 1983–1991)
Amal Movement
PNSF
Marada Brigades (left LF in
1978; aligned with Syria)
Lebanese Armed Forces
UNIFIL (from 1978)
Multinational Force in Lebanon
(1982–1984)
United States
UK
France
Italy","Cold War, Arab Cold War,
Arab–Israeli conflict, Iran–Israel and
Iran–Saudi proxy wars",https://en.wikipedia.org/wiki/Lebanese_Civil_War,https://en.wikipedia.org/wiki/Cold_War
,,,,"Arab Deterrent Force (1976–
1982)[422]
List
Saudi Arabia
(1976–1979)
Sudan
(1976–1979)
UAE
(1976–1979)
Libya
(1976 only)
South Yemen
(1976–1977)",,,
1975,1991,"Western Sahara War
","Morocco
Mauritania (1975–1979)
Supported by:
United States
France (1977–1978, aid from
1978)
Saudi Arabia[423][424][425]","Sahrawi Republic
Supported by:
Algeria (1976,[426] aid from
1976)
Libya (1976–1984)[427]",Western Sahara conflict,https://en.wikipedia.org/wiki/Western_Sahara_War,https://en.wikipedia.org/wiki/Western_Sahara_conflict
1975,Ongoing,"Insurgency in Laos
","Lao PDR
Lao People's Revolutionary Party
Supported by:
Vietnam
Vietnam People's Army (alleged direct
involvement and intervention)
Soviet Union (until 1989)","Lao Resistance Movement[428]
Hmong insurgents
Supported by:
Thailand (until 1990)
United States (until 1990)
Neo Hom (1981–2007)[429][430]
Royalists:
Lao National Liberation Front
Royal Lao Democratic Government
(1982)
Supported by:
Royal Lao Government in Exile
China (until 1988)[431]
Khmer Rouge (until 1999)
Democratic Kampuchea (until
1979)
Party of Democratic Kampuchea
(1981–1990)
Rightists:
United Front for the Liberation of Laos
Supported by:
Thailand (early to mid–1980s)",Third Indochina War,https://en.wikipedia.org/wiki/Insurgency_in_Laos,https://en.wikipedia.org/wiki/Third_Indochina_War
1975,1976,"Indonesian invasion of East Timor
","Indonesia
ABRI
PGET
UDT[432]
APODETI","East Timor
FRETILIN (FALINTIL)","Cold War in Asia and the
decolonisation of Asia (from 28
November)",https://en.wikipedia.org/wiki/Indonesian_invasion_of_East_Timor,https://en.wikipedia.org/wiki/Cold_War_in_Asia
1976,"Early
1980s",Rebellion of the Lost,Brazil,Rebels,,https://en.wikipedia.org/wiki/Rebellion_of_the_Lost?action=edit&redlink=1,
