Start,Finish,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1870,1871,Franco-Prussian War,"North German
Confederation
Kingdom of Bavaria
Baden
Kingdom of
Württemberg",Second French Empire,,https://en.wikipedia.org/wiki/Franco-Prussian_War,,1340846.0
1857,1858,Utah War,United States,"State of Deseret
Utah Territory
Nauvoo Legion",,https://en.wikipedia.org/wiki/Utah_War,,1312270.0
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,,1309728.0
1899,"1902
(Malvar
surrender)
1913
(Irreconcilables
active)",Philippine–American War,"United States
Philippine
Constabulary
Philippine Scouts","First Philippine
Republic
Katipunan
Pulajanes
Sultanate of Sulu
Moro people",,https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War,,995375.0
1802,1804,"Fourth quarter of the
Haitian Revolution",Haiti,France,,https://en.wikipedia.org/wiki/Haitian_Revolution,https://en.wikipedia.org/wiki/Haitian_Revolution,941954.0
1812,1812,"French invasion of
Russia
",Russian Empire,"France
Duchy of Warsaw
Italy
Naples
Confederation of the Rhine
Baden
Bavaria
Berg
Saxony
Westphalia
Spain
Swiss Confederation","Napoleonic
Wars",https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia,910792.0
1807,1814,"Peninsular War
","Portugal
United Kingdom
Spain",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,871489.0
1871,1871,French Civil War of 1871,French Republic,Communards,,https://en.wikipedia.org/wiki/Paris_Commune,,791097.0
1839,1842,First Opium War,British Empire,Qing Empire of China,,https://en.wikipedia.org/wiki/First_Opium_War,,759300.0
1868,1869,"Boshin War
War of the Year of
the Dragon
","Imperial Faction:
Forces of the Emperor
of Japan
Satsuma Domain
Choshu Domain
Tosa Domain
Hiroshima Domain
Saga Domain
British Empire","Tokugawa Shogunate
Northern Alliance
Republic of Ezo
Second French Empire","Japanese
Civil War",https://en.wikipedia.org/wiki/Boshin_War,,758675.0
1894,1895,First Sino-Japanese War,Empire of Japan,Qing Empire,,https://en.wikipedia.org/wiki/First_Sino-Japanese_War,,744684.0
1821,1829,"Greek War of
Independence","Greek revolutionaries
Britain
United States of the
Ionian Islands","Ottoman Empire
Egypt Eyalet
Beylik of Tunis (naval
battles)",,https://en.wikipedia.org/wiki/Greek_War_of_Independence,https://en.wikipedia.org/wiki/Greek_War_of_Independence,716300.0
1810,1821,"Mexican War of
Independence
",Mexican Army,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,713372.0
1854,1861,Bleeding Kansas,Free-Stater (Kansas),Border ruffians,,https://en.wikipedia.org/wiki/Bleeding_Kansas,,689498.0
1879,1879,Anglo-Zulu War,"British Empire
Colony of Natal",Zulu Kingdom,,https://en.wikipedia.org/wiki/Anglo-Zulu_War,,611756.0
