,Started,Ended,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026),Continent
25,2022.0,Ongoing,"Western DR Congo
clashes",Mobondo militia,"Democratic Republic of
the Congo",,https://en.wikipedia.org/wiki/Western_DR_Congo_clashes,https://en.wikipedia.org/wiki/Western_DR_Congo_clashes,55431.0,Africa
26,2022.0,2022,"al-Shabaab
invasion of Ethiopia
Part of the
Ethiopian–Somali
conflict, the Somali
Civil War, Ethiopian
civil conflict and the
spillover of the
Tigray war","Ethiopia
Somali Region","Al-Qaeda
Al-Shabaab",,https://en.wikipedia.org/wiki/Al-Shabaab_invasion_of_Ethiopia,https://en.wikipedia.org/wiki/Al-Shabaab_invasion_of_Ethiopia,4307.0,Undefined
27,2022.0,Ongoing,North Kosovo crisis,"Kosovo
Albania
Diplomatic support:","Serbia
Diplomatic support:
China
Russia",,https://en.wikipedia.org/wiki/North_Kosovo_crisis_(2022%E2%80%932025),,99933.0,Undefined
28,,,,,,,,,,Undefined
29,,,,"NATO
European Union","Hungary[81]
Greece
Cyprus
Montenegro
Republika Srpska",,,,,Undefined
30,2022.0,2022,"2022 Gaza–Israel
clashes
","Israel
Israel Defense
Forces
Israeli Air Force","Gaza Strip[82]
Palestinian Islamic
Jihad[83][84]","Israeli–
Palestinian conflict",https://en.wikipedia.org/wiki/2022_Gaza%E2%80%93Israel_clashes,https://en.wikipedia.org/wiki/2022_Gaza%E2%80%93Israel_clashes,38214.0,Asia
31,2022.0,2022,"September 2022
Armenia–Azerbaijan
clashes
Part of the
Armenia–Azerbaijan
border crisis",Armenia,Azerbaijan,,https://en.wikipedia.org/wiki/September_2022_Armenia%E2%80%93Azerbaijan_clashes,https://en.wikipedia.org/wiki/September_2022_Armenia%E2%80%93Azerbaijan_clashes,47112.0,Asia
32,2022.0,2022,"2022 Kyrgyzstan–
Tajikistan clashes
",Kyrgyzstan,"Tajikistan
Afghan mujahids[85] (per
Kyrgyzstan)","post-
Soviet conflicts",https://en.wikipedia.org/wiki/2022_Kyrgyzstan%E2%80%93Tajikistan_clashes,https://en.wikipedia.org/wiki/2022_Kyrgyzstan%E2%80%93Tajikistan_clashes,72296.0,Asia
33,2023.0,Ongoing,"Las Anod conflict
",Somaliland,"SSC-Khatumo
Supported by:
Somalia[86]
Harti militiamen[87]","Somali
Civil War",https://en.wikipedia.org/wiki/Las_Anod_conflict_(2023),https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present),20100.0,Undefined
34,2023.0,Ongoing,"War in Amhara
Part of the
Ethiopian civil
conflict","Fano factions
Amhara People's Army
Wollo Fano
Gojjam Fano
Gondar Fano
Shewa Fano","Ethiopia
ENDF
Amhara Region
Government",,https://en.wikipedia.org/wiki/War_in_Amhara,https://en.wikipedia.org/wiki/Ethiopian_civil_conflict_(2018%E2%80%93present),127486.0,Undefined
35,2023.0,2023,"2023 Afghanistan–
Iran clash",Afghanistan,Iran,,https://en.wikipedia.org/wiki/2023_Afghanistan%E2%80%93Iran_clash,https://en.wikipedia.org/wiki/2023_Afghanistan%E2%80%93Iran_clash,40052.0,Asia
36,2023.0,Ongoing,"Sudanese civil war
Part of the
Sudanese Civil
Wars","Transitional
Sovereignty Council
Sudanese Armed
Forces
PDF[88]
Popular Resistance
Al-Bara Battalion
AWB
SPLM-N (Agar)[89]
JEM[90]
SLM (Minnawi)
SLM (Tambour)
(from August 2023)
Joint Darfur Force (from
November 2023)
Foreign Support
Ukraine[91]
Turkey[92]","Government of Peace
and Unity (from April 2025) [93]
Rapid Support
Forces
Non-RSF Janjaweed
militias
SPLM-N (al-Hilu)
[94]
(from February 2025)
Tamazuj (from August 2023)
Foreign Support
Libyan National Army[95]
United Arab Emirates[96]
Wagner Group[97]
SLM (al-Nur)[98]
SPLM-N (al-Hilu) (June
2023 – February 2025)",,https://en.wikipedia.org/wiki/Sudanese_civil_war_(2023%E2%80%93present),https://en.wikipedia.org/wiki/Sudanese_Civil_War,4863007.0,Africa
37,2023.0,2023,"Wagner Group
rebellion
",PMC Wagner,"Russia
Ministry of Defense
Armed Forces
FSB
National Guard
Kadyrovites","Wagner–
MoD conflict during
the Russian
invasion of Ukraine",https://en.wikipedia.org/wiki/Wagner_Group_rebellion,https://en.wikipedia.org/wiki/Wagner_Group_rebellion,634584.0,Europe
38,2023.0,2023,"2023 Azerbaijani
offensive in",Azerbaijan[i],Artsakh[j],,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh,334292.0,Asia
39,,,"Nagorno-Karabakh
Part of the
Nagorno-Karabakh
conflict",,,,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict,334292.0,Asia
