Start,Finish,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
"c.
1454
BC","c. 1453
BC",Thutmose III's Fourth Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
"c.
1450
BC","c. 1449
BC",Thutmose III's Fifth Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu\nKadesh\nTunip\nPhoenicia,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
"c.
1449
BC","c. 1448
BC",Thutmose III's Sixth Syria\nCampaign*,Egyptian Empire,Byblos\nRetjenu\nKadesh,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
"c.
1448
BC","c. 1447
BC",Thutmose III's Seventh Syria\nCampaign*,Egyptian Empire,Retjenu\nPhoenicia,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
"c.
1447
BC","c. 1446
BC",Thutmose III's Attack on\nMitanni (Eighth Syria\nCampaign)*,Egyptian Empire,Mitanni,,https://en.wikipedia.org/wiki/Thutmose_III#Attack_on_Mitanni,https://en.wikipedia.org/wiki/Thutmose_III#Attack_on_Mitanni,504837.0
"c.
1445
BC","c. 1444
BC",Thutmose III's Ninth Syria\nCampaign*,Egyptian Empire,Nuhašše,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1444
BC","c. 1443
BC",Thutmose III's Tenth Syria\nCampaign*,Egyptian Empire,Mitanni,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1443
BC","c. 1442
BC",Thutmose III's Eleventh\nSyria Campaign*,Egyptian Empire,Unknown,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1442
BC","c. 1441
BC",Thutmose III's Twelfth Syria\nCampaign*,Egyptian Empire,Unknown,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
,,,,,,,,
"c.
1441
BC","c. 1440
BC",Thutmose III's Thirteenth\nSyria Campaign*,Egyptian Empire,Nuhašše,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1440
BC","c. 1439
BC",Thutmose III's Fourteenth\nSyria Campaign*,Egyptian Empire,Shasu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1439
BC","c. 1438
BC",Thutmose III's Fifteenth\nSyria Campaign*,Egyptian Empire,Unknown,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1438
BC","c. 1437
BC",Thutmose III's Sixteenth\nSyria Campaign*,Egyptian Empire,Unknown,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1437
BC","c. 1436
BC",Thutmose III's Seventeenth\nSyria Campaign*,Egyptian Empire,Mitanni\nTunip\nKadesh,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1430
BC","c. 1200
BC",Kaska invasions into the\nHittite Empire,Hittite Empire,Kaska\nAzzi-Hayasa\nMushki,,https://en.wikipedia.org/wiki/Kaskians#Early_history,https://en.wikipedia.org/wiki/Kaskians#Early_history,48960.0
"c.
1429
BC","c. 1428
BC",Thutmose III's Nubian\nCampaign*,Egyptian Empire,Nubia,,https://en.wikipedia.org/wiki/Thutmose_III#Nubian_campaign,https://en.wikipedia.org/wiki/Thutmose_III#Nubian_campaign,504837.0
c. 14th century BC,,Battle of the Ten Kings,Trtsu-Bharata,Alina\nAnu\nBhrigus\nBhalanas\nDasa\nDruhyus\nMātsyeyas\nPersians\nPuru\nPanis,,https://en.wikipedia.org/wiki/Battle_of_the_Ten_Kings,,193817.0
"c.
1400
BC","c. 1350
BC",Hittite Wars of Survival,The Hittites,Kaska\nHayasa-Azzi\nIsuwa\nArzawa,,https://en.wikipedia.org/wiki/Hittite_Wars_of_Survival,,12003.0
"c.
1345
BC","c. 1345
BC",Great Syrian War,The Hittites,Mitanni,,https://en.wikipedia.org/wiki/Mitanni#Great_Syrian_War,,348900.0
"c.
1315
BC","c. 1315
BC",Arzawa Revolt[34],Arzawa\nAhhiyawa,Hittite Empire,,https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,,792429.0
"c.
1276
BC","c. 1275
BC",Ramesses II's First Syrian\nCampaign[35],Egypt,Canaan\nAmurru kingdom,,https://en.wikipedia.org/wiki/Ramesses_II#First_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#First_Syrian_campaign,1746873.0
"c.
1274
BC","c. 1274
BC",Ramesses II's Second\nSyrian campaign[36][37],Hittite Empire,New Kingdom of Egypt,,https://en.wikipedia.org/wiki/Ramesses_II#Second_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#Second_Syrian_campaign,1746873.0
"c.
1270
BC","c. 1270
BC",Ramesses II's Third Syrian\nCampaign,Egypt,Hittite Empire,,https://en.wikipedia.org/wiki/Ramesses_II#Third_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#Third_Syrian_campaign,1746873.0
"c.
1270
BC","c. 1269
BC",Ramesses II's Later Syrian\nCampaigns,New Kingdom of Egypt,Hittite Empire,,https://en.wikipedia.org/wiki/Ramesses_II#Later_Syrian_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Later_Syrian_campaigns,1746873.0
,,,,,,,,
"c.
1267
BC","c. 1267
BC",Hittite Civil War of 1267 B.C.,Hattusili III,Mursili III,,https://en.wikipedia.org/wiki/Hattusili's_Civil_War,,8001.0
