Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
"c.
1450
BC","c. 1449
BC",Thutmose III's Fifth Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu\nKadesh\nTunip\nPhoenicia,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
1337,1453,Hundred Years'\nWar,Kingdom of France\nCrown of Castile\nKingdom of Scotland,Kingdom of England\nDuchy of Burgundy,,https://en.wikipedia.org/wiki/Hundred_Years'_War,https://en.wikipedia.org/wiki/Hundred_Years'_War,2288735.0
1191,1191,Conquest of Cyprus by\nRichard I,Kingdom of England,Isaac Komnenos of Cyprus,,https://en.wikipedia.org/wiki/Richard_I_of_England#Conquest_of_Cyprus:~:text=Conquest_of_Cyprus_by_Richard_I,https://en.wikipedia.org/wiki/Richard_I_of_England#Conquest_of_Cyprus:~:text=Conquest_of_Cyprus_by_Richard_I,2024752.0
1455,1487,Wars of the\nRoses,House of Lancaster,House of York,,https://en.wikipedia.org/wiki/Wars_of_the_Roses,https://en.wikipedia.org/wiki/Wars_of_the_Roses,1974245.0
1453,1453,Fall of\nConstantinople,Ottoman Empire,Byzantine Empire\nRepublic of Genoa,,https://en.wikipedia.org/wiki/Fall_of_Constantinople,https://en.wikipedia.org/wiki/Fall_of_Constantinople,1745353.0
1015,1016,Cnut the Great's conquest of\nEngland,Denmark\nPoland,England,,https://en.wikipedia.org/wiki/Cnut#Conquest_of_England,https://en.wikipedia.org/wiki/Cnut#Conquest_of_England,1391988.0
1096,1099,First Crusade\n,Crusaders\nKingdom of France\nCounty of Auvergne\nCounts of Blois\nCounty of Toulouse\nCounty of Boulogne\nDuchy of Burgundy\nCounty of Flanders\nDuchy of Normandy\nDiocese of Le Puy-en-Velay\nDuchy of Brittany\nVermandois\nHoly Roman Empire\nRepublic of Genoa\nCounty of Sicily,Muslim forces\nFatimid Caliphate\nSeljuk Empire\nSultanate of Rum\nDanishmendids\nSeljuk Emirate of\nAleppo\nSeljuk Emirate of\nDamascus\nAbbasid Caliphate,Crusades,https://en.wikipedia.org/wiki/First_Crusade,,1067386.0
1189,1192,Third Crusade\n,Kingdom of Jerusalem\nKingdom of England\nKingdom of France\nHoly Roman Empire\nKnights Templar\nKingdom of Sicily,Ayyubid Dynasty\nZengid Dynasty\nByzantine Empire,Crusades,https://en.wikipedia.org/wiki/Third_Crusade,,787256.0
1066,1066,Battle of Stamford Bridge,Kingdom of England,Norway\nEarldom of Orkney,,https://en.wikipedia.org/wiki/Battle_of_Stamford_Bridge,,694059.0
1419,1434,Hussite Wars,Holy Roman Empire\nRoyalists\nHungary\nPope\nmoderated Hussites\n(Utraquists)\nSerbian mercenaries[4],"Hussites 1419–1423,\nRadical Hussites\n(Taborites and Orebites)\n1423–1434",,https://en.wikipedia.org/wiki/Hussite_Wars,,612717.0
1202,1204,Fourth Crusade\n,Holy Roman Empire\nRepublic of Venice\nMonferrat,Byzantine Empire,Crusades,https://en.wikipedia.org/wiki/Fourth_Crusade,https://en.wikipedia.org/wiki/Crusades,586877.0
1187,1187,Battle of Hattin\n,Ayyubid Dynasty,Kingdom of Jerusalem\nCounty of Tripoli\nPrincipality of Antioch,Crusades,https://en.wikipedia.org/wiki/Battle_of_Hattin,,568273.0
1274,1281,Mongol invasions of\nJapan,Kamakura Shogunate,Mongol Empire\nGoryeo\nYuan dynasty,,https://en.wikipedia.org/wiki/Mongol_invasions_of_Japan,https://en.wikipedia.org/wiki/Mongol_invasions_of_Japan,548743.0
1209,1229,Albigensian Crusade\n,Kingdom of France,Counts of Toulouse\nCrown of Aragon,Crusades,https://en.wikipedia.org/wiki/Albigensian_Crusade,,513546.0
1381,1381,Peasants' Revolt,Kingdom of England,English peasants,,https://en.wikipedia.org/wiki/Peasants'_Revolt,,469761.0
