Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1107,1110,Norwegian Crusade\n,Kingdom of Norway\nKingdom of Jerusalem\nRepublic of Venice,Muslim Kingdoms\nAlmoravids\nTaifa of Majorca\nFatimid Caliphate,Crusades,https://en.wikipedia.org/wiki/Norwegian_Crusade,,75063.0
1107,1119,Muhammad Tapar's anti-Nizari\ncampaign,Seljuq Empire,Nizari Ismaili state,,https://en.wikipedia.org/wiki/Muhammad_Tapar's_anti-Nizari_campaign,https://en.wikipedia.org/wiki/Muhammad_Tapar's_anti-Nizari_campaign,1620.0
1110,1110,Chola invasion of Kalinga,Chola Empire,Kalinga,,https://en.wikipedia.org/wiki/Chola_invasion_of_Kalinga_(1110),,7289.0
1113,1115,Balearic Islands expedition\n,Republic of Pisa\nCatalan counties\nCounty of Provence\nGiudicato of Torres\nPapal States,Taifa of Majorca\nAlmoravids,Crusades,https://en.wikipedia.org/wiki/1113%E2%80%931115_Balearic_Islands_expedition,,13283.0
1121,1121,Battle of Didgori,Kingdom of Georgia,Seljuk Empire\nArtuqids\nBeylik of Dilmaç\nBanu Mazyad\nShaddadids\nEmirate of Tbilisi\nSultanate of Rum,,https://en.wikipedia.org/wiki/Battle_of_Didgori,,149606.0
1122,1124,Venetian Crusade\n,Republic of Venice\nKingdom of Jerusalem\nCounty of Tripoli,Fatimid Caliphate\nSeljuqs,Crusades,https://en.wikipedia.org/wiki/Venetian_Crusade,,37312.0
1123,1123,Kalmare ledung\n,Kingdom of Norway,Swedish Pagans,Crusades,https://en.wikipedia.org/wiki/Kalmare_ledung,,8662.0
1125,1208,Jurchen campaigns against\nthe Song dynasty,Jin dynasty,Song dynasty,,https://en.wikipedia.org/wiki/Jurchen_campaigns_against_the_Song_dynasty,https://en.wikipedia.org/wiki/Jurchen_campaigns_against_the_Song_dynasty,3971.0
1127,1129,Byzantine–Hungarian War,Byzantine Empire,Kingdom of Hungary\nGrand Principality of Serbia,,https://en.wikipedia.org/wiki/Byzantine%E2%80%93Hungarian_War_(1127%E2%80%931129),,9950.0
1130,1240,Civil war era in Norway,Pretenders,Aristocrates,,https://en.wikipedia.org/wiki/Civil_war_era_in_Norway,,47076.0
1131,1157,Danish Civil Wars,,,,https://en.wikipedia.org/wiki/Danish_Civil_Wars,,10103.0
1135,1154,The Anarchy,Stephen of Blois,Empress Matilda\nHenry Plantagenet,,https://en.wikipedia.org/wiki/The_Anarchy,,444463.0
1144,1162,Baussenque Wars,House of Barcelona,House of Baux,,https://en.wikipedia.org/wiki/Baussenque_Wars,,12389.0
1145,1149,Second Crusade\n,Sultanate of Rûm\nAlmoravid Dynasty\nZengid Dynasty\nFatimid Caliphate,Kingdom of Jerusalem\nKingdom of France\nHoly Roman Empire\nKingdom of Portugal\nKingdom of Castile\nCounty of Barcelona\nKingdom of León\nByzantine Empire\nKingdom of Sicily\nKingdom of England,Crusades,https://en.wikipedia.org/wiki/Second_Crusade,,388257.0
1147,1242,Northern Crusades\n,Kingdom of Denmark\nKingdom of Sweden\nSword-Brothers\nTeutonic Order,Estonians\nOeselians\nSemigallians\nCuronians\nLatgallians\nSelonians\nLivonians\nPrussians\nPolabian Slavs,Crusades,https://en.wikipedia.org/wiki/Northern_Crusades,,302666.0
1153,1153,Battle of Sétif,Almohad Caliphate,Banu Hilal\nRiyah,,https://en.wikipedia.org/wiki/Battle_of_S%C3%A9tif,,9173.0
1156,1156,Hōgen Rebellion,Forces loyal to Emperor\nGo-Shirakawa,Forces loyal to Retired\nEmperor Sutoku,,https://en.wikipedia.org/wiki/H%C5%8Dgen_Rebellion,,16405.0
1159,1160,Heiji Rebellion,Taira clan\nShinzei,Minamoto clan\nFujiwara no Nobuyori,,https://en.wikipedia.org/wiki/Heiji_Rebellion,,13808.0
1169,1175,Norman invasion of Ireland,Duchy of Normandy,Ulster\nMide\nLeinster\nMunster\nConnacht,,https://en.wikipedia.org/wiki/Norman_invasion_of_Ireland,,72243.0
1169,1177,Pandyan Civil War,Faction of Parakrama\nPandyan II\nKingdom of Polonnaruwa,Faction of Kulasekhara\nChola dynasty,,https://en.wikipedia.org/wiki/Pandyan_Civil_War_(1169%E2%80%931177),,20148.0
1171,1172,Byzantine–Venetian war,Byzantine Empire,Republic of Venice,,https://en.wikipedia.org/wiki/Byzantine%E2%80%93Venetian_war_of_1171,,9705.0
1173,1174,Revolt of 1173–1174,English royalists,English rebels\nKingdom of France\nKingdom of Scotland\nCounty of Flanders\nCounty of Boulogne\nDuchy of Brittany,,https://en.wikipedia.org/wiki/Revolt_of_1173%E2%80%931174,,108140.0
1177,1177,Battle of Montgisard\n,Kingdom of Jerusalem,Ayyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Battle_of_Montgisard,,406890.0
1179,1179,Battle of Loděnice,"Soběslav II, Duke of\nBohemia","Duchy of Bohemia\nFrederick, Duke of Bohemia",,https://en.wikipedia.org/wiki/Battle_of_Lod%C4%9Bnice_(1179),,1774.0
1179,1179,Battle of Marj Ayyun\n,Ayyubid Dynasty,Kingdom of Jerusalem\nKnights Templar,Crusades,https://en.wikipedia.org/wiki/Battle_of_Marj_Ayyun,,62878.0
1179,1179,Battle of Jacob's Ford\n,Ayyubid Dynasty,Kingdom of Jerusalem,Crusades,https://en.wikipedia.org/wiki/Battle_of_Jacob's_Ford,,9369.0
1180,1185,Genpei War,Minamoto clan (Yoritomo),Taira clan,,https://en.wikipedia.org/wiki/Genpei_War,,223852.0
,,,Imperial Court,Minamoto no Yoshinaka,,,,
1182,1182,Battle of Belvoir Castle\n,Kingdom of Jerusalem,Ayyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Battle_of_Belvoir_Castle,,50960.0
